locale	length	ldml_pattern	normalized	finetype_type	note
ar	short	d‏/M‏/y	d/M/y	datetime.date.eu_slash	DMY slash
ar	medium	dd‏/MM‏/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ar	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ar	full	EEEE، d MMMM y	EEEE، d MMMM y	datetime.date.weekday_full_month	weekday + full month
bg	short	d.MM.yy 'г'.	d.MM.yy	datetime.date.eu_dot	DMY dot
bg	medium	d.MM.y 'г'.	d.MM.y	datetime.date.eu_dot	DMY dot
bg	long	d MMMM y 'г'.	d MMMM y	datetime.date.long_full_month	full month
bg	full	EEEE, d MMMM y 'г'.	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
cs	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
cs	medium	d. M. y	d. M. y	datetime.date.eu_dot	DMY dot
cs	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
cs	full	EEEE d. MMMM y	EEEE d. MMMM y	datetime.date.weekday_full_month	weekday + full month
da	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
da	medium	d. MMM y	d. MMM y	datetime.date.abbreviated_month	abbreviated month
da	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
da	full	EEEE 'den' d. MMMM y	EEEE d. MMMM y	datetime.date.weekday_full_month	weekday + full month
de	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
de	medium	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
de	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
de	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
de-AT	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
de-AT	medium	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
de-AT	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
de-AT	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
de-CH	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
de-CH	medium	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
de-CH	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
de-CH	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
el	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
el	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
el	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
el	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
en	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
en	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-AU	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
en-AU	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-AU	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-AU	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-CA	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
en-CA	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
en-CA	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
en-CA	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
en-GB	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-GB	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-GB	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-GB	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-IE	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-IE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-IE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-IE	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-NZ	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
en-NZ	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
en-NZ	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
en-NZ	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
en-ZA	short	y/MM/dd	y/MM/dd	datetime.date.iso	YMD slash
en-ZA	medium	dd MMM y	dd MMM y	datetime.date.abbreviated_month	abbreviated month
en-ZA	long	dd MMMM y	dd MMMM y	datetime.date.long_full_month	full month
en-ZA	full	EEEE, dd MMMM y	EEEE, dd MMMM y	datetime.date.weekday_full_month	weekday + full month
es	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
es	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
es	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
es	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
es-AR	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
es-AR	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
es-AR	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
es-AR	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
es-CO	short	d/MM/yy	d/MM/yy	datetime.date.eu_slash	DMY slash padded
es-CO	medium	d/MM/y	d/MM/y	datetime.date.eu_slash	DMY slash padded
es-CO	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
es-CO	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
es-MX	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
es-MX	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
es-MX	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
es-MX	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
et	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
et	medium	d. MMM y	d. MMM y	datetime.date.abbreviated_month	abbreviated month
et	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
et	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
fi	short	d.M.y	d.M.y	datetime.date.eu_dot	DMY dot
fi	medium	d.M.y	d.M.y	datetime.date.eu_dot	DMY dot
fi	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
fi	full	cccc d. MMMM y	cccc d. MMMM y	datetime.date.weekday_full_month	weekday + full month (alt)
fr	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-BE	short	d/MM/yy	d/MM/yy	datetime.date.eu_slash	DMY slash padded
fr-BE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-BE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-BE	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-CA	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
fr-CA	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-CA	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-CA	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-CH	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
fr-CH	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
