locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
ar	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
bg	wide	януари	февруари	март	април	май	юни	юли	август	септември	октомври	ноември	декември
bg	abbreviated	яну	фев	март	апр	май	юни	юли	авг	сеп	окт	ное	дек
cs	wide	ledna	února	března	dubna	května	června	července	srpna	září	října	listopadu	prosince
cs	abbreviated	led	úno	bře	dub	kvě	čvn	čvc	srp	zář	říj	lis	pro
da	wide	januar	februar	marts	april	maj	juni	juli	august	september	oktober	november	december
da	abbreviated	jan.	feb.	mar.	apr.	maj	jun.	jul.	aug.	sep.	okt.	nov.	dec.
de	wide	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de	abbreviated	Jan.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sept.	Okt.	Nov.	Dez.
de-AT	wide	Jänner	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de-AT	abbreviated	Jän.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sep.	Okt.	Nov.	Dez.
de-CH	wide	Januar	Februar	März	April	Mai	Juni	Juli	August	September	Oktober	November	Dezember
de-CH	abbreviated	Jan.	Feb.	März	Apr.	Mai	Juni	Juli	Aug.	Sept.	Okt.	Nov.	Dez.
el	wide	Ιανουαρίου	Φεβρουαρίου	Μαρτίου	Απριλίου	Μαΐου	Ιουνίου	Ιουλίου	Αυγούστου	Σεπτεμβρίου	Οκτωβρίου	Νοεμβρίου	Δεκεμβρίου
el	abbreviated	Ιαν	Φεβ	Μαρ	Απρ	Μαΐ	Ιουν	Ιουλ	Αυγ	Σεπ	Οκτ	Νοε	Δεκ
en	wide	January	February	March	April	May	June	July	August	September	October	November	December
en	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-AU	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-AU	abbreviated	Jan	Feb	Mar	Apr	May	June	July	Aug	Sept	Oct	Nov	Dec
en-CA	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-CA	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-GB	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-GB	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-IE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-IE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NZ	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NZ	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-ZA	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-ZA	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
es	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-AR	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-AR	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-CO	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-CO	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-MX	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-MX	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sep	oct	nov	dic
et	wide	jaanuar	veebruar	märts	aprill	mai	juuni	juuli	august	september	oktoober	november	detsember
et	abbreviated	jaan	veebr	märts	apr	mai	juuni	juuli	aug	sept	okt	nov	dets
fi	wide	tammikuuta	helmikuuta	maaliskuuta	huhtikuuta	toukokuuta	kesäkuuta	heinäkuuta	elokuuta	syyskuuta	lokakuuta	marraskuuta	joulukuuta
fi	abbreviated	tammi	helmi	maalis	huhti	touko	kesä	heinä	elo	syys	loka	marras	joulu
fr	wide	janvier	février	mars	avril	mai	juin	juillet	août	septembre	octobre	novembre	décembre
fr	abbreviated	janv.	févr.	mars	avr.	mai	juin	juil.	août	sept.	oct.	nov.	déc.
fr-BE	wide	janvier	février	mars	avril	mai	juin	juillet	août	septembre	octobre	novembre	décembre
fr-BE	abbreviated	janv.	févr.	mars	avr.	mai	juin	juil.	août	sept.	oct.	nov.	déc.
fr-CA	wide	janvier	février	mars	avril	mai	juin	juillet	août	septembre	octobre	novembre	décembre
fr-CA	abbreviated	janv.	févr.	mars	avr.	mai	juin	juill.	août	sept.	oct.	nov.	déc.
fr-CH	wide	janvier	février	mars	avril	mai	juin	juillet	août	septembre	octobre	novembre	décembre
fr-CH	abbreviated	janv.	févr.	mars	avr.	mai	juin	juil.	août	sept.	oct.	nov.	déc.
hr	wide	siječnja	veljače	ožujka	travnja	svibnja	lipnja	srpnja	kolovoza	rujna	listopada	studenoga	prosinca
hr	abbreviated	sij	velj	ožu	tra	svi	lip	srp	kol	ruj	lis	stu	pro
hu	wide	január	február	március	április	május	június	július	augusztus	szeptember	október	november	december
hu	abbreviated	jan.	febr.	márc.	ápr.	máj.	jún.	júl.	aug.	szept.	okt.	nov.	dec.
it	wide	gennaio	febbraio	marzo	aprile	maggio	giugno	luglio	agosto	settembre	ottobre	novembre	dicembre
it	abbreviated	gen	feb	mar	apr	mag	giu	lug	ago	set	ott	nov	dic
it-CH	wide	gennaio	febbraio	marzo	aprile	maggio	giugno	luglio	agosto	settembre	ottobre	novembre	dicembre
it-CH	abbreviated	gen	feb	mar	apr	mag	giu	lug	ago	set	ott	nov	dic
lt	wide	sausio	vasario	kovo	balandžio	gegužės	birželio	liepos	rugpjūčio	rugsėjo	spalio	lapkričio	gruodžio
lt	abbreviated	saus.	vas.	kov.	bal.	geg.	birž.	liep.	rugp.	rugs.	spal.	lapkr.	gruod.
lv	wide	janvāris	februāris	marts	aprīlis	maijs	jūnijs	jūlijs	augusts	septembris	oktobris	novembris	decembris
lv	abbreviated	janv.	febr.	marts	apr.	maijs	jūn.	jūl.	aug.	sept.	okt.	nov.	dec.
nb	wide	januar	februar	mars	april	mai	juni	juli	august	september	oktober	november	desember
nb	abbreviated	jan.	feb.	mars	apr.	mai	juni	juli	aug.	sep.	okt.	nov.	des.
nl	wide	januari	februari	maart	april	mei	juni	juli	augustus	september	oktober	november	december
nl	abbreviated	jan	feb	mrt	apr	mei	jun	jul	aug	sep	okt	nov	dec
nl-BE	wide	januari	februari	maart	april	mei	juni	juli	augustus	september	oktober	november	december
nl-BE	abbreviated	jan	feb	mrt	apr	mei	jun	jul	aug	sep	okt	nov	dec
nn	wide	januar	februar	mars	april	mai	juni	juli	august	september	oktober	november	desember
nn	abbreviated	jan.	feb.	mars	apr.	mai	juni	juli	aug.	sep.	okt.	nov.	des.
pl	wide	stycznia	lutego	marca	kwietnia	maja	czerwca	lipca	sierpnia	września	października	listopada	grudnia
pl	abbreviated	sty	lut	mar	kwi	maj	cze	lip	sie	wrz	paź	lis	gru
pt	wide	janeiro	fevereiro	março	abril	maio	junho	julho	agosto	setembro	outubro	novembro	dezembro
pt	abbreviated	jan.	fev.	mar.	abr.	mai.	jun.	jul.	ago.	set.	out.	nov.	dez.
ro	wide	ianuarie	februarie	martie	aprilie	mai	iunie	iulie	august	septembrie	octombrie	noiembrie	decembrie
