locale	length	ldml_pattern	finetype_type	note
ar	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
bg	short	H:mm	datetime.time.hm_24h	24h without seconds
bg	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
bg	long	H:mm:ss 'ч'. z	datetime.time.hms_24h	24h with seconds
bg	full	H:mm:ss 'ч'. zzzz	datetime.time.hms_24h	24h with seconds
cs	short	H:mm	datetime.time.hm_24h	24h without seconds
cs	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
cs	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
cs	full	H:mm:ss, zzzz	datetime.time.hms_24h	24h with seconds
da	short	HH.mm	datetime.time.hm_24h	24h without seconds
da	medium	HH.mm.ss	datetime.time.hms_24h	24h with seconds
da	long	HH.mm.ss z	datetime.time.hms_24h	24h with seconds
da	full	HH.mm.ss zzzz	datetime.time.hms_24h	24h with seconds
de	short	HH:mm	datetime.time.hm_24h	24h without seconds
de	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
de-AT	short	HH:mm	datetime.time.hm_24h	24h without seconds
de-AT	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de-AT	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de-AT	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
de-CH	short	HH:mm	datetime.time.hm_24h	24h without seconds
de-CH	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
de-CH	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
de-CH	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
el	short	h:mm a	datetime.time.hm_12h	12h without seconds
el	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
el	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
el	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en	short	h:mm a	datetime.time.hm_12h	12h without seconds
en	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-AU	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-AU	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-AU	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-AU	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-CA	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-CA	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-CA	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-CA	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-GB	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-GB	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-GB	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-GB	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-IE	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-IE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-IE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-IE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
