locale	width	mon	tue	wed	thu	fri	sat	sun
ar	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
bg	wide	понеделник	вторник	сряда	четвъртък	петък	събота	неделя
bg	abbreviated	пн	вт	ср	чт	пт	сб	нд
cs	wide	pondělí	úterý	středa	čtvrtek	pátek	sobota	neděle
cs	abbreviated	po	út	st	čt	pá	so	ne
da	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
da	abbreviated	man.	tirs.	ons.	tors.	fre.	lør.	søn.
de	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-AT	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-AT	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
de-CH	wide	Montag	Dienstag	Mittwoch	Donnerstag	Freitag	Samstag	Sonntag
de-CH	abbreviated	Mo.	Di.	Mi.	Do.	Fr.	Sa.	So.
el	wide	Δευτέρα	Τρίτη	Τετάρτη	Πέμπτη	Παρασκευή	Σάββατο	Κυριακή
el	abbreviated	Δευ	Τρί	Τετ	Πέμ	Παρ	Σάβ	Κυρ
en	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-AU	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-AU	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-CA	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-CA	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-GB	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-GB	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-IE	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-IE	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-NZ	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-NZ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
en-ZA	wide	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
en-ZA	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
es	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-AR	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-AR	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-CO	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-CO	abbreviated	lun	mar	mié	jue	vie	sáb	dom
es-MX	wide	lunes	martes	miércoles	jueves	viernes	sábado	domingo
es-MX	abbreviated	lun	mar	mié	jue	vie	sáb	dom
et	wide	esmaspäev	teisipäev	kolmapäev	neljapäev	reede	laupäev	pühapäev
et	abbreviated	E	T	K	N	R	L	P
fi	wide	maanantaina	tiistaina	keskiviikkona	torstaina	perjantaina	lauantaina	sunnuntai
fi	abbreviated	ma	ti	ke	to	pe	la	su
fr	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-BE	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-BE	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CA	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CA	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CH	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CH	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
hr	wide	ponedjeljak	utorak	srijeda	četvrtak	petak	subota	nedjelja
hr	abbreviated	pon	uto	sri	čet	pet	sub	ned
hu	wide	hétfő	kedd	szerda	csütörtök	péntek	szombat	vasárnap
hu	abbreviated	H	K	Sze	Cs	P	Szo	V
it	wide	lunedì	martedì	mercoledì	giovedì	venerdì	sabato	domenica
it	abbreviated	lun	mar	mer	gio	ven	sab	dom
it-CH	wide	lunedì	martedì	mercoledì	giovedì	venerdì	sabato	domenica
it-CH	abbreviated	lun	mar	mer	gio	ven	sab	dom
lt	wide	pirmadienis	antradienis	trečiadienis	ketvirtadienis	penktadienis	šeštadienis	sekmadienis
lt	abbreviated	pr	an	tr	kt	pn	št	sk
lv	wide	pirmdiena	otrdiena	trešdiena	ceturtdiena	piektdiena	sestdiena	svētdiena
lv	abbreviated	pirmd.	otrd.	trešd.	ceturtd.	piektd.	sestd.	svētd.
nb	wide	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag
nb	abbreviated	man.	tir.	ons.	tor.	fre.	lør.	søn.
nl	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl	abbreviated	ma	di	wo	do	vr	za	zo
nl-BE	wide	maandag	dinsdag	woensdag	donderdag	vrijdag	zaterdag	zondag
nl-BE	abbreviated	ma	di	wo	do	vr	za	zo
nn	wide	måndag	tysdag	onsdag	torsdag	fredag	laurdag	søndag
nn	abbreviated	må.	ty.	on.	to.	fr.	la.	sø.
pl	wide	poniedziałek	wtorek	środa	czwartek	piątek	sobota	niedziela
pl	abbreviated	pon.	wt.	śr.	czw.	pt.	sob.	niedz.
pt	wide	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado	domingo
pt	abbreviated	seg.	ter.	qua.	qui.	sex.	sáb.	dom.
ro	wide	luni	marți	miercuri	joi	vineri	sâmbătă	duminică
ro	abbreviated	lun.	mar.	mie.	joi	vin.	sâm.	dum.
ru	wide	понедельник	вторник	среда	четверг	пятница	суббота	воскресенье
ru	abbreviated	пн	вт	ср	чт	пт	сб	вс
sk	wide	pondelok	utorok	streda	štvrtok	piatok	sobota	nedeľa
sk	abbreviated	po	ut	st	št	pi	so	ne
sl	wide	ponedeljek	torek	sreda	četrtek	petek	sobota	nedelja
sl	abbreviated	pon.	tor.	sre.	čet.	pet.	sob.	ned.
sr-Latn	wide	ponedeljak	utorak	sreda	četvrtak	petak	subota	nedelja
sr-Latn	abbreviated	pon	uto	sre	čet	pet	sub	ned
sv	wide	måndag	tisdag	onsdag	torsdag	fredag	lördag	söndag
sv	abbreviated	mån	tis	ons	tors	fre	lör	sön
tr	wide	Pazartesi	Salı	Çarşamba	Perşembe	Cuma	Cumartesi	Pazar
tr	abbreviated	Pzt	Sal	Çar	Per	Cum	Cmt	Paz
uk	wide	понеділок	вівторок	середа	четвер	пʼятниця	субота	неділя
uk	abbreviated	пн	вт	ср	чт	пт	сб	нд
aa	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-DJ	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-DJ	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-ER	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
aa-ER	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
af	wide	Maandag	Dinsdag	Woensdag	Donderdag	Vrydag	Saterdag	Sondag
af	abbreviated	Ma.	Di.	Wo.	Do.	Vr.	Sa.	So.
af-NA	wide	Maandag	Dinsdag	Woensdag	Donderdag	Vrydag	Saterdag	Sondag
af-NA	abbreviated	Ma.	Di.	Wo.	Do.	Vr.	Sa.	So.
agq	wide	tsuʔukpà	tsuʔughɔe	tsuʔutɔ̀mlò	tsuʔumè	tsuʔughɨ̂m	tsuʔndzɨkɔʔɔ	tsuʔntsɨ
agq	abbreviated	kpa	ghɔ	tɔm	ume	ghɨ	dzk	nts
ak	wide	Dwoada	Benada	Wukuada	Yawoada	Fiada	Memeneda	Kwasiada
ak	abbreviated	Dwo	Ben	Wuk	Yaw	Fia	Mem	Kwe
am	wide	ሰኞ	ማክሰኞ	ረቡዕ	ሐሙስ	ዓርብ	ቅዳሜ	እሑድ
am	abbreviated	ሰኞ	ማክሰ	ረቡዕ	ሐሙስ	ዓርብ	ቅዳሜ	እሑድ
an	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
an	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ann	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ann	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
apc	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
apc	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ar-AE	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-AE	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-BH	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-BH	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DJ	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DJ	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DZ	wide	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
ar-DZ	abbreviated	الاثنين	الثلاثاء	الأربعاء	الخميس	الجمعة	السبت	الأحد
