cluster	column	gt_label	rank	predicted_label	probability	gt_in_topk
container	csv	container.object.csv	1	representation.text.plain_text	0.928343	NO
container	csv	container.object.csv	2	representation.text.word	0.034502	NO
container	csv	container.object.csv	3	representation.text.entity_name	0.031395	NO
container	csv	container.object.csv	4	container.array.comma_separated	0.003576	NO
container	csv	container.object.csv	5	container.array.whitespace_separated	0.001455	NO
container	html	container.object.html	1	representation.text.plain_text	0.905241	NO
container	html	container.object.html	2	representation.text.entity_name	0.067118	NO
container	html	container.object.html	3	representation.text.word	0.025847	NO
container	html	container.object.html	4	container.array.whitespace_separated	0.000621	NO
container	html	container.object.html	5	geography.location.region	0.000286	NO
container	json_array	container.object.json_array	1	representation.text.plain_text	0.960626	NO
container	json_array	container.object.json_array	2	representation.text.word	0.034423	NO
container	json_array	container.object.json_array	3	representation.text.entity_name	0.004253	NO
container	json_array	container.object.json_array	4	representation.text.emoji	0.000552	NO
container	json_array	container.object.json_array	5	identity.person.full_name	0.000036	NO
container	query_string	container.key_value.query_string	1	representation.text.plain_text	0.935283	NO
container	query_string	container.key_value.query_string	2	representation.text.word	0.050928	NO
container	query_string	container.key_value.query_string	3	representation.text.entity_name	0.010861	NO
container	query_string	container.key_value.query_string	4	geography.location.country	0.002270	NO
container	query_string	container.key_value.query_string	5	geography.location.region	0.000266	NO
container	semicolon_separated	container.array.semicolon_separated	1	representation.text.plain_text	0.525323	YES
container	semicolon_separated	container.array.semicolon_separated	2	representation.text.word	0.348576	YES
container	semicolon_separated	container.array.semicolon_separated	3	representation.text.entity_name	0.124380	YES
container	semicolon_separated	container.array.semicolon_separated	4	container.array.semicolon_separated	0.000762	YES
container	semicolon_separated	container.array.semicolon_separated	5	geography.location.country	0.000682	YES
container	whitespace_separated	container.array.whitespace_separated	1	representation.text.entity_name	0.553576	NO
container	whitespace_separated	container.array.whitespace_separated	2	representation.text.plain_text	0.361879	NO
container	whitespace_separated	container.array.whitespace_separated	3	representation.text.word	0.063722	NO
container	whitespace_separated	container.array.whitespace_separated	4	identity.person.username	0.011629	NO
container	whitespace_separated	container.array.whitespace_separated	5	geography.location.country	0.002420	NO
container	xml	container.object.xml	1	representation.text.plain_text	0.884398	NO
container	xml	container.object.xml	2	representation.text.word	0.091144	NO
container	xml	container.object.xml	3	representation.text.entity_name	0.022566	NO
container	xml	container.object.xml	4	geography.location.country	0.001328	NO
container	xml	container.object.xml	5	container.array.comma_separated	0.000175	NO
container	yaml	container.object.yaml	1	representation.text.plain_text	0.777875	NO
container	yaml	container.object.yaml	2	representation.text.word	0.179356	NO
container	yaml	container.object.yaml	3	representation.text.entity_name	0.041586	NO
container	yaml	container.object.yaml	4	geography.location.country	0.000657	NO
container	yaml	container.object.yaml	5	representation.text.emoji	0.000186	NO
datetime	iso_8601_compact	datetime.timestamp.iso_8601_compact	1	identity.commerce.isbn	0.517171	NO
datetime	iso_8601_compact	datetime.timestamp.iso_8601_compact	2	representation.identifier.alphanumeric_id	0.437249	NO
datetime	iso_8601_compact	datetime.timestamp.iso_8601_compact	3	representation.text.plain_text	0.018996	NO
datetime	iso_8601_compact	datetime.timestamp.iso_8601_compact	4	representation.numeric.integer_number	0.014949	NO
datetime	iso_8601_compact	datetime.timestamp.iso_8601_compact	5	representation.identifier.numeric_code	0.003973	NO
