# rhh_counterfactual.tsv — ac-04 output
# Source: target/release/finetype profile over eval/datasets/manifest.csv
# Model dir: /Users/hugh/github/meridian-online/finetype/models/sherlock-v16
# Model weights sha256: 58dcba8ea723f4f4d4091d1ef348ad3b19f7700396bd47ecee759409a28f9ecc
# Families: 22
# Baseline datasets profiled: 36
# Scoring: schema_mapping.csv-backed label equivalence (mirrors eval/eval_profile.sql interchangeability classes).
# Schema: family_id\tdataset\tcolumn_name\tgt_label\tbaseline_label\tdisabled_label\tbaseline_confidence\tdisabled_confidence\tbaseline_rule\tdisabled_rule\tbaseline_correct\tdisabled_correct\tbaseline_domain_correct\tdisabled_domain_correct\tlabel_changed
family_id	dataset	column_name	gt_label	baseline_label	disabled_label	baseline_confidence	disabled_confidence	baseline_rule	disabled_rule	baseline_correct	disabled_correct	baseline_domain_correct	disabled_domain_correct	label_changed
header_hint_table	titanic	PassengerId	id	representation.identifier.increment	representation.identifier.increment	0.9951	0.9951	numeric_sequential_detection	numeric_sequential_detection	1	1	1	1	0
header_hint_table	titanic	Survived	boolean	representation.boolean.binary	representation.boolean.binary	1.0000	1.0000	boolean_subtype_binary	boolean_subtype_binary	1	1	1	1	0
header_hint_table	titanic	Pclass	class	representation.discrete.ordinal	representation.discrete.ordinal	1.0000	1.0000	small_integer_ordinal	small_integer_ordinal	1	1	1	1	0
header_hint_table	titanic	Name	name	identity.person.full_name	identity.person.full_name	0.9973	0.9973			1	1	1	1	0
header_hint_table	titanic	Sex	gender	identity.person.gender	identity.person.gender	1.0000	1.0000	gender_detection	gender_detection	1	1	1	1	0
header_hint_table	titanic	Age	number	representation.numeric.integer_number	representation.numeric.integer_number	0.8894	0.7894	feature_no_leading_zero:0.00	feature_no_leading_zero:0.00	1	1	1	1	0
header_hint_table	titanic	SibSp	number	representation.discrete.ordinal	representation.discrete.ordinal	0.9989	0.9989	small_integer_ordinal	small_integer_ordinal	0	0	1	1	0
header_hint_table	titanic	Parch	number	representation.numeric.integer_number	representation.numeric.integer_number	1.0000	0.9996	boolean_override_integer_spread	boolean_override_integer_spread	1	1	1	1	0
header_hint_table	titanic	Ticket	code	representation.alphanumeric.alphanumeric_id	representation.alphanumeric.alphanumeric_id	1.0000	1.0000	header_hint_cross_domain:ticket	header_hint_cross_domain:ticket	0	0	1	1	0
header_hint_table	titanic	Fare	price	finance.currency.amount	finance.currency.amount	0.8838	0.8838	header_hint_cross_domain:fare	header_hint_cross_domain:fare	1	1	1	1	0
header_hint_table	titanic	Cabin	code	representation.alphanumeric.alphanumeric_id	representation.alphanumeric.alphanumeric_id	0.7295	0.7295	header_hint_cross_domain:cabin	header_hint_cross_domain:cabin	0	0	1	1	0
header_hint_table	titanic	Embarked	category	representation.discrete.categorical	representation.discrete.categorical	0.7708	0.6708	categorical_single_char	categorical_single_char	1	1	1	1	0
header_hint_table	airports	id	id	representation.numeric.integer_number	representation.numeric.integer_number	1.0000	1.0000	feature_no_leading_zero:0.00	feature_no_leading_zero:0.00	1	1	1	1	0
header_hint_table	airports	name	airport name	geography.address.full_address	geography.address.full_address	0.9715	0.9715			1	1	1	1	0
header_hint_table	airports	city	city	geography.location.city	geography.location.region	0.7820	0.7820	header_hint_geo_override:city		1	0	1	1	1
header_hint_table	airports	country	country	geography.location.country	geography.location.country	1.0000	1.0000			1	1	1	1	0
header_hint_table	airports	iata	iata	geography.transportation.iata_code	geography.transportation.iata_code	0.9998	0.9998			1	1	1	1	0
header_hint_table	airports	icao	icao	geography.transportation.icao_code	finance.banking.swift_bic	0.8504	0.8504	header_hint_cross_domain:icao		1	0	1	0	1
header_hint_table	airports	latitude	latitude	geography.coordinate.latitude	geography.coordinate.latitude	1.0000	0.9999	coordinate_disambiguation	coordinate_disambiguation	1	1	1	1	0
header_hint_table	airports	longitude	longitude	geography.coordinate.longitude	geography.coordinate.longitude	1.0000	0.9660	coordinate_disambiguation	coordinate_disambiguation	1	1	1	1	0
header_hint_table	airports	altitude	number	representation.numeric.integer_number	representation.numeric.integer_number	1.0000	0.9454	feature_no_leading_zero:0.00	feature_no_leading_zero:0.00	1	1	1	1	0
header_hint_table	airports	utc_offset	utc offset	datetime.offset.utc	representation.numeric.integer_number	0.9896	0.9896	header_hint_cross_domain:utc_offset		1	0	1	0	1
header_hint_table	airports	timezone	time zone	datetime.offset.iana	geography.location.city	0.5000	0.4603	header_hint_cross_domain:timezone		1	0	1	0	1
header_hint_table	airports	type	category	representation.text.word	representation.text.word	0.9775	0.9775			0	0	1	1	0
header_hint_table	airports	source	category	representation.text.entity_name	representation.text.entity_name	0.9790	0.9790			0	0	1	1	0
header_hint_table	countries	name	country	geography.location.country	geography.location.country	0.9988	0.9988			1	1	1	1	0
header_hint_table	countries	alpha-2	country code	geography.location.country_code	geography.location.state_code	0.9515	0.9515	header_hint_same_category:alpha-2		1	0	1	1	1
header_hint_table	countries	alpha-3	country code	geography.location.country_code	geography.transportation.iata_code	0.5000	0.9963	header_hint_generic:alpha-3		1	0	1	1	1
header_hint_table	countries	country-code	code	geography.location.country_code	representation.identifier.numeric_code	0.9780	0.9780	header_hint_cross_domain:country-code		1	1	1	1	1
header_hint_table	countries	iso_3166-2	code	representation.text.entity_name	representation.text.entity_name	0.4085	0.4085			0	0	1	1	0
header_hint_table	countries	region	region	geography.location.continent	geography.location.continent	1.0000	1.0000			1	1	1	1	0
header_hint_table	countries	sub-region	region	geography.location.continent	geography.location.continent	0.9569	0.9569			1	1	1	1	0
header_hint_table	countries	region-code	code	representation.identifier.numeric_code	representation.identifier.numeric_code	0.5454	0.5454			1	1	1	1	0
