# Per-family summary derived from rhh_counterfactual.tsv
family_id	scored_rows	label_changes	baseline_correct	disabled_correct	delta_correct
header_hint_table	448	31	377	353	-24
substring_matcher_identity	448	9	377	370	-7
substring_matcher_technology	448	2	377	375	-2
substring_matcher_geography	448	7	377	375	-2
substring_matcher_datetime	448	3	377	379	+2
substring_matcher_finance	448	11	377	375	-2
substring_matcher_representation	448	2	377	376	-1
header_hint_measurement	448	0	377	377	+0
header_hint_location	448	0	377	377	+0
header_hint_hardcoded	448	4	377	375	-2
header_hint_generic	448	4	377	376	-1
header_hint_fallback	448	0	377	377	+0
header_hint	448	1	377	377	+0
header_hint_cross_domain	448	6	377	375	-2
header_hint_same_category	448	3	377	377	+0
header_hint_geo_override	448	0	377	377	+0
header_hint_person_override	448	0	377	377	+0
header_hint_sci_measurement	448	0	377	377	+0
header_hint_location_keep	448	0	377	377	+0
sense_geo_hint_override	448	0	377	377	+0
sense_geo_rescue	448	0	377	377	+0
sense_header_hint	448	0	377	377	+0
