dataset	column_name	gt_label	finetype_label	raw_pred	raw_conf	raw_rule	sharp_pred	sharp_conf	sharp_rule	raw_match	sharp_match	sharpen_changed	sharpen_effect
airports	city	city	geography.location.city	geography.location.city	0.8946	multi-branch-sibling	geography.location.city	0.9946	multi-branch-sibling	1	1	0	UNCHANGED
airports	country	country	geography.location.country	geography.location.country	1.0	multi-branch-sibling	geography.location.country	1.0	multi-branch-sibling	1	1	0	UNCHANGED
airports	iata	iata	geography.transportation.iata_code	geography.transportation.iata_code	1.0	multi-branch-sibling	geography.transportation.iata_code	1.0	multi-branch-sibling	1	1	0	UNCHANGED
airports	latitude	latitude	geography.coordinate.latitude	geography.coordinate.latitude	0.9996	multi-branch-sibling	geography.coordinate.latitude	1.0	coordinate_disambiguation	1	1	0	UNCHANGED
airports	name	airport name	representation.text.entity_name	geography.address.full_address	0.9938	multi-branch-sibling	geography.address.full_address	0.9938	multi-branch-sibling	1	1	0	UNCHANGED
airports	source	category	representation.discrete.categorical	representation.text.entity_name	0.9351	multi-branch-sibling	representation.text.entity_name	0.9351	multi-branch-sibling	0	0	0	UNCHANGED
airports	type	category	representation.discrete.categorical	representation.text.word	0.93	multi-branch-sibling	representation.text.word	0.93	multi-branch-sibling	0	0	0	UNCHANGED
api_users_json	address.city	city	geography.location.city	geography.location.city	0.9994	multi-branch-sibling	geography.location.city	1.0	multi-branch-sibling	1	1	0	UNCHANGED
api_users_json	address.country	country code	geography.location.country_code	geography.location.country_code	1.0	multi-branch-sibling	geography.location.country_code	1.0	country_code_post_hint_guard:alpha2_rate=1.00	1	1	0	UNCHANGED
api_users_json	email	email	identity.person.email	identity.person.email	0.9975	multi-branch-sibling	identity.person.email	1.0	multi-branch-sibling	1	1	0	UNCHANGED
api_users_json	name	name	identity.person.full_name	identity.person.full_name	0.9816	multi-branch-sibling	identity.person.full_name	0.9816	multi-branch-sibling	1	1	0	UNCHANGED
api_users_json	phone	telephone	identity.person.phone_number	identity.person.phone_number	1.0	multi-branch-sibling	identity.person.phone_number	1.0	multi-branch-sibling	1	1	0	UNCHANGED
api_users_json	profile_url	url	technology.internet.url	technology.internet.url	0.9999	multi-branch-sibling	technology.internet.url	1.0	multi-branch-sibling	1	1	0	UNCHANGED
books_catalog	author	author	identity.person.full_name	identity.person.full_name	0.9955	multi-branch-sibling	identity.person.full_name	1.0	multi-branch-sibling	1	1	0	UNCHANGED
books_catalog	description	description	representation.text.plain_text	representation.text.plain_text	0.9915	multi-branch-sibling	representation.text.plain_text	0.9915	multi-branch-sibling	1	1	0	UNCHANGED
books_catalog	isbn	isbn	identity.commerce.isbn	identity.commerce.isbn	1.0	multi-branch-sibling	identity.commerce.isbn	1.0	multi-branch-sibling	1	1	0	UNCHANGED
books_catalog	publisher	entity name	representation.text.entity_name	representation.text.entity_name	0.68	multi-branch-sibling	representation.text.entity_name	0.78	multi-branch-sibling	1	1	0	UNCHANGED
books_catalog	title	title	representation.text.entity_name	container.array.whitespace_separated	0.7135	multi-branch-sibling	container.array.whitespace_separated	0.7135	multi-branch-sibling	0	0	0	UNCHANGED
books_catalog	year_published	year	datetime.component.year	datetime.component.year	1.0	multi-branch-sibling	datetime.component.year	1.0	numeric_year_detection	1	1	0	UNCHANGED
codes_and_ids	credit_card	credit card number	finance.payment.credit_card_number	finance.payment.credit_card_number	1.0	multi-branch-sibling	finance.payment.credit_card_number	1.0	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	ean	ean	identity.commerce.ean	identity.commerce.ean	0.9998	multi-branch-sibling	identity.commerce.ean	1.0	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	hex_color	color	representation.format.color_hex	representation.format.color_hex	0.9999	multi-branch-sibling	representation.format.color_hex	0.9999	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	iban	iban	finance.banking.iban	finance.crypto.ethereum_address	0.9167	multi-branch-sibling	finance.crypto.ethereum_address	0.9167	multi-branch-sibling	0	0	0	UNCHANGED
codes_and_ids	isbn	isbn	identity.commerce.isbn	identity.commerce.isbn	1.0	multi-branch-sibling	identity.commerce.isbn	1.0	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	issn	issn	identity.commerce.issn	identity.commerce.issn	1.0	multi-branch-sibling	identity.commerce.issn	1.0	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	locale	locale code	technology.code.locale_code	technology.code.locale_code	0.9953	multi-branch-sibling	technology.code.locale_code	0.9953	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	mime_type	file format	representation.file.mime_type	representation.file.mime_type	1.0	multi-branch-sibling	representation.file.mime_type	1.0	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	sha256	hash	technology.cryptographic.hash	technology.cryptographic.hash	0.9363	multi-branch-sibling	technology.cryptographic.hash	0.9363	multi-branch-sibling	1	1	0	UNCHANGED
codes_and_ids	swift_code	swift code	finance.banking.swift_bic	finance.securities.sedol	0.9601	multi-branch-sibling	finance.securities.sedol	0.9601	multi-branch-sibling	0	0	0	UNCHANGED
codes_and_ids	uuid	uuid	representation.identifier.uuid	representation.identifier.uuid	1.0	multi-branch-sibling	representation.identifier.uuid	1.0	multi-branch-sibling	1	1	0	UNCHANGED
countries	iso_3166-2	code	representation.identifier.alphanumeric_id	identity.medical.dea_number	0.6541	multi-branch-sibling	identity.medical.dea_number	0.6541	multi-branch-sibling	0	0	0	UNCHANGED
countries	name	country	geography.location.country	geography.location.country	0.9836	multi-branch-sibling	geography.location.country	0.9836	multi-branch-sibling	1	1	0	UNCHANGED
countries	region	region	geography.location.region	geography.location.continent	1.0	multi-branch-sibling	geography.location.continent	1.0	multi-branch-sibling	1	1	0	UNCHANGED
countries	region-code	code	representation.identifier.alphanumeric_id	representation.identifier.numeric_code	0.4623	multi-branch-sibling	representation.identifier.numeric_code	0.4623	multi-branch-sibling	1	1	0	UNCHANGED
countries	sub-region	region	geography.location.region	geography.location.continent	0.6992	multi-branch-sibling	geography.location.continent	0.6992	multi-branch-sibling	1	1	0	UNCHANGED
countries	sub-region-code	code	representation.identifier.alphanumeric_id	representation.identifier.numeric_code	0.99	multi-branch-sibling	representation.identifier.numeric_code	0.99	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	abbrev_month_no_comma	datetime.date.abbrev_month_no_comma	datetime.date.abbrev_month_no_comma	datetime.date.abbrev_month_no_comma	1.0	multi-branch-sibling	datetime.date.abbrev_month_no_comma	1.0	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	amount	finance.currency.amount	finance.currency.amount	finance.currency.amount	0.6253	multi-branch-sibling	finance.currency.amount	0.7253	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	amount_code_prefix	finance.currency.amount_code_prefix	finance.currency.amount_code_prefix	finance.currency.amount_code_prefix	0.9466	multi-branch-sibling	finance.currency.amount_code_prefix	1.0	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	amount_comma	finance.currency.amount_comma	finance.currency.amount_comma	finance.currency.amount_comma	0.734	multi-branch-sibling	finance.currency.amount_comma	0.834	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	basis_points	finance.rate.basis_points	finance.rate.basis_points	finance.rate.basis_points	0.9909	multi-branch-sibling	finance.rate.basis_points	0.9909	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	blood_type	identity.person.blood_type	identity.person.blood_type	identity.person.blood_type	0.9997	multi-branch-sibling	identity.person.blood_type	0.9997	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	calling_code	geography.contact.calling_code	geography.contact.calling_code	representation.text.plain_text	0.9351	multi-branch-sibling	representation.text.plain_text	0.9351	multi-branch-sibling	0	0	0	UNCHANGED
coverage_closure_phase_ab	chinese_ymd	datetime.date.chinese_ymd	datetime.date.chinese_ymd	datetime.date.chinese_ymd	0.993	multi-branch-sibling	datetime.date.chinese_ymd	0.993	multi-branch-sibling	1	1	0	UNCHANGED
coverage_closure_phase_ab	color_rgb	representation.format.color_rgb	representation.format.color_rgb	representation.format.color_rgb	0.9981	multi-branch-sibling	representation.format.color_rgb	0.9981	multi-branch-sibling	1	1	0	UNCHANGED
