dataset,file_path,column_name,gt_label,predicted_label,confidence,disambiguation_applied,disambiguation_rule,is_generic,samples_used,feat_mean_is_numeric,feat_mean_is_integer,feat_mean_is_float,feat_mean_has_leading_zero,feat_mean_has_at_sign,feat_mean_has_protocol_prefix,feat_mean_is_uuid_like,feat_mean_is_hex_string,feat_mean_has_iso_date_sep,feat_mean_matches_phone_pattern,feat_mean_length,feat_mean_digit_count,feat_mean_alpha_count,feat_mean_uppercase_count,feat_mean_lowercase_count,feat_mean_space_count,feat_mean_symbol_count,feat_mean_digit_ratio,feat_mean_alpha_ratio,feat_mean_uppercase_ratio,feat_mean_unique_char_ratio,feat_mean_max_digit_run,feat_mean_max_alpha_run,feat_mean_punctuation_density,feat_mean_segment_count_dot,feat_mean_segment_count_dash,feat_mean_segment_count_slash,feat_mean_segment_count_space,feat_mean_has_mixed_case,feat_mean_starts_with_digit,feat_mean_ends_with_digit,feat_mean_length_bucket,feat_mean_has_colon,feat_mean_has_dash,feat_mean_has_negative_prefix,feat_mean_has_percent,feat_var_is_numeric,feat_var_is_integer,feat_var_is_float,feat_var_has_leading_zero,feat_var_has_at_sign,feat_var_has_protocol_prefix,feat_var_is_uuid_like,feat_var_is_hex_string,feat_var_has_iso_date_sep,feat_var_matches_phone_pattern,feat_var_length,feat_var_digit_count,feat_var_alpha_count,feat_var_uppercase_count,feat_var_lowercase_count,feat_var_space_count,feat_var_symbol_count,feat_var_digit_ratio,feat_var_alpha_ratio,feat_var_uppercase_ratio,feat_var_unique_char_ratio,feat_var_max_digit_run,feat_var_max_alpha_run,feat_var_punctuation_density,feat_var_segment_count_dot,feat_var_segment_count_dash,feat_var_segment_count_slash,feat_var_segment_count_space,feat_var_has_mixed_case,feat_var_starts_with_digit,feat_var_ends_with_digit,feat_var_length_bucket,feat_var_has_colon,feat_var_has_dash,feat_var_has_negative_prefix,feat_var_has_percent,feat_min_is_numeric,feat_min_is_integer,feat_min_is_float,feat_min_has_leading_zero,feat_min_has_at_sign,feat_min_has_protocol_prefix,feat_min_is_uuid_like,feat_min_is_hex_string,feat_min_has_iso_date_sep,feat_min_matches_phone_pattern,feat_min_length,feat_min_digit_count,feat_min_alpha_count,feat_min_uppercase_count,feat_min_lowercase_count,feat_min_space_count,feat_min_symbol_count,feat_min_digit_ratio,feat_min_alpha_ratio,feat_min_uppercase_ratio,feat_min_unique_char_ratio,feat_min_max_digit_run,feat_min_max_alpha_run,feat_min_punctuation_density,feat_min_segment_count_dot,feat_min_segment_count_dash,feat_min_segment_count_slash,feat_min_segment_count_space,feat_min_has_mixed_case,feat_min_starts_with_digit,feat_min_ends_with_digit,feat_min_length_bucket,feat_min_has_colon,feat_min_has_dash,feat_min_has_negative_prefix,feat_min_has_percent,feat_max_is_numeric,feat_max_is_integer,feat_max_is_float,feat_max_has_leading_zero,feat_max_has_at_sign,feat_max_has_protocol_prefix,feat_max_is_uuid_like,feat_max_is_hex_string,feat_max_has_iso_date_sep,feat_max_matches_phone_pattern,feat_max_length,feat_max_digit_count,feat_max_alpha_count,feat_max_uppercase_count,feat_max_lowercase_count,feat_max_space_count,feat_max_symbol_count,feat_max_digit_ratio,feat_max_alpha_ratio,feat_max_uppercase_ratio,feat_max_unique_char_ratio,feat_max_max_digit_run,feat_max_max_alpha_run,feat_max_punctuation_density,feat_max_segment_count_dot,feat_max_segment_count_dash,feat_max_segment_count_slash,feat_max_segment_count_space,feat_max_has_mixed_case,feat_max_starts_with_digit,feat_max_ends_with_digit,feat_max_length_bucket,feat_max_has_colon,feat_max_has_dash,feat_max_has_negative_prefix,feat_max_has_percent,vote1_label,vote1_fraction,vote2_label,vote2_fraction,vote3_label,vote3_fraction,vote4_label,vote4_fraction,vote5_label,vote5_fraction
iris,eval/datasets/csv/iris.csv,sepal_length,decimal number,representation.numeric.decimal_number,1.0000,true,sense_mask:numeric,true,100,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.966667,1.000000,0.000000,0.333334,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.666667,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,1.000000,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,representation.numeric.decimal_number,1.0000,,,,,,,,
iris,eval/datasets/csv/iris.csv,sepal_width,decimal number,representation.numeric.decimal_number,0.9900,true,sense_mask:numeric,true,100,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.983333,1.000000,0.000000,0.333334,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.666667,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,1.000000,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,representation.numeric.decimal_number,0.9900,,,,,,,,
iris,eval/datasets/csv/iris.csv,petal_length,decimal number,representation.numeric.decimal_number,0.9800,true,sense_mask:numeric,true,100,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.973333,1.000000,0.000000,0.333334,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.666667,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,1.000000,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,representation.numeric.decimal_number,0.9800,,,,,,,,
iris,eval/datasets/csv/iris.csv,petal_width,decimal number,representation.numeric.decimal_number,0.8100,true,sense_mask:numeric,true,100,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.990000,1.000000,0.000000,0.333334,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.666667,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,1.000000,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,representation.numeric.decimal_number,0.8100,,,,,,,,
iris,eval/datasets/csv/iris.csv,species,category,representation.discrete.categorical,0.6700,true,sense_header_hint_cross_domain:species,true,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.310000,0.000000,12.310000,1.000000,11.310000,0.000000,1.000000,0.000000,0.923520,0.082956,0.733897,0.000000,8.310000,0.076481,1.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3.828161,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.913902,0.000000,2.913902,0.000000,2.913902,0.000000,0.000000,0.000000,0.000111,0.000155,0.004034,0.000000,2.913902,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.000000,10.000000,1.000000,9.000000,0.000000,1.000000,0.000000,0.909091,0.071429,0.666667,0.000000,6.000000,0.066667,1.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3.584963,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,0.000000,14.000000,1.000000,13.000000,0.000000,1.000000,0.000000,0.933333,0.100000,0.818182,0.000000,10.000000,0.090909,1.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,geography.location.region,0.6700,geography.location.country,0.3300,,,,,,
earthquakes_2024,eval/datasets/csv/earthquakes_2024.csv,time,iso timestamp milliseconds,datetime.timestamp.iso_8601_milliseconds,1.0000,false,,false,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,24.000000,17.000000,2.000000,2.000000,0.000000,0.000000,5.000000,0.708333,0.083333,1.000000,0.520000,4.000000,1.000000,0.208333,2.000000,3.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4.643859,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,24.000000,17.000000,2.000000,2.000000,0.000000,0.000000,5.000000,0.708333,0.083333,1.000000,0.416667,4.000000,1.000000,0.208333,2.000000,3.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4.643856,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,24.000000,17.000000,2.000000,2.000000,0.000000,0.000000,5.000000,0.708333,0.083333,1.000000,0.583333,4.000000,1.000000,0.208333,2.000000,3.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4.643856,1.000000,1.000000,0.000000,0.000000,datetime.timestamp.iso_8601_milliseconds,1.0000,,,,,,,,
earthquakes_2024,eval/datasets/csv/earthquakes_2024.csv,latitude,latitude,geography.coordinate.latitude,0.9000,true,coordinate_disambiguation,false,100,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.060000,5.610000,0.000000,0.000000,0.000000,0.000000,1.450000,0.797000,0.000000,0.000000,0.851512,3.820000,0.000000,0.203000,2.000000,1.450000,1.000000,1.000000,0.000000,0.550000,1.000000,3.003098,0.000000,0.450000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656400,0.377900,0.000000,0.000000,0.000000,0.000000,0.247500,0.003401,0.000000,0.000000,0.013113,0.247600,0.000000,0.003401,0.000000,0.247500,0.000000,0.000000,0.000000,0.247500,0.000000,0.022801,0.000000,0.247500,0.247500,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.571429,2.000000,0.000000,0.142857,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.584963,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,6.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.857143,0.000000,0.000000,1.000000,4.000000,0.000000,0.333333,2.000000,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3.169925,0.000000,1.000000,1.000000,0.000000,geography.coordinate.latitude,0.7200,representation.numeric.decimal_number,0.2600,geography.coordinate.longitude,0.0100,,,,
earthquakes_2024,eval/datasets/csv/earthquakes_2024.csv,longitude,longitude,geography.coordinate.longitude,0.5000,true,sense_header_hint_cross_domain:longitude,false,100,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.860000,6.510000,0.000000,0.000000,0.000000,0.000000,1.350000,0.829072,0.000000,0.000000,0.828690,3.890000,0.000000,0.170929,2.000000,1.350000,1.000000,1.000000,0.000000,0.650000,1.000000,3.142777,0.000000,0.350000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.460400,0.409900,0.000000,0.000000,0.000000,0.000000,0.227500,0.003067,0.000000,0.000000,0.012613,0.117900,0.000000,0.003067,0.000000,0.227500,0.000000,0.000000,0.000000,0.227500,0.000000,0.013573,0.000000,0.227500,0.227500,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.714286,0.000000,0.000000,0.625000,2.000000,0.000000,0.125000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.584963,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.875000,0.000000,0.000000,1.000000,4.000000,0.000000,0.285714,2.000000,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3.321928,0.000000,1.000000,1.000000,0.000000,representation.numeric.decimal_number,0.4900,geography.coordinate.longitude,0.2400,,,,,,
earthquakes_2024,eval/datasets/csv/earthquakes_2024.csv,depth,decimal number,representation.numeric.decimal_number,0.4000,false,,true,100,1.000000,0.450000,0.550000,0.000000,0.000000,0.000000,0.000000,0.450000,0.000000,0.000000,4.340000,3.790000,0.000000,0.000000,0.000000,0.000000,0.550000,0.910071,0.000000,0.000000,0.917667,2.500000,0.000000,0.089929,1.550000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.278361,0.000000,0.000000,0.000000,0.000000,0.000000,0.247500,0.247500,0.000000,0.000000,0.000000,0.000000,0.247500,0.000000,0.000000,4.844394,2.985900,0.000000,0.000000,0.000000,0.000000,0.247500,0.007117,0.000000,0.000000,0.013539,0.290000,0.000000,0.007117,0.247500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.420397,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.500000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,6.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,representation.numeric.decimal_number,0.4000,,,,,,,,
earthquakes_2024,eval/datasets/csv/earthquakes_2024.csv,mag,decimal number,representation.numeric.decimal_number,0.9300,true,sense_mask:numeric,true,100,1.000000,0.070000,0.930000,0.000000,0.000000,0.000000,0.000000,0.070000,0.000000,0.000000,2.860000,1.930000,0.000000,0.000000,0.000000,0.000000,0.930000,0.690000,0.000000,0.000000,0.950000,1.000000,0.000000,0.310000,1.930000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065100,0.065100,0.000000,0.000000,0.000000,0.000000,0.065100,0.000000,0.000000,0.260400,0.065100,0.000000,0.000000,0.000000,0.000000,0.065100,0.007233,0.000000,0.000000,0.014167,0.000000,0.000000,0.007233,0.065100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065100,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.666667,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.333333,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,representation.numeric.decimal_number,0.9300,,,,,,,,
