subtype	rank	predicted_label	probability
amount_accounting	1	finance.currency.amount_comma	0.470205
amount_accounting	2	representation.numeric.decimal_number	0.253832
amount_accounting	3	finance.currency.amount	0.104021
amount_accounting	4	representation.numeric.decimal_number_comma	0.075497
amount_accounting	5	representation.numeric.integer_number	0.026442
amount_apostrophe	1	finance.currency.amount	0.600022
amount_apostrophe	2	finance.currency.amount_comma	0.362115
amount_apostrophe	3	finance.currency.amount_multisym	0.013592
amount_apostrophe	4	representation.numeric.si_number	0.009202
amount_apostrophe	5	finance.currency.amount_space	0.005549
amount_code_prefix	1	finance.currency.amount_code_prefix	0.994886
amount_code_prefix	2	representation.text.plain_text	0.002278
amount_code_prefix	3	finance.currency.currency_code	0.000955
amount_code_prefix	4	representation.text.entity_name	0.000640
amount_code_prefix	5	finance.currency.amount_comma	0.000300
amount_comma	1	finance.currency.amount	0.564518
amount_comma	2	finance.currency.amount_comma	0.385572
amount_comma	3	finance.currency.amount_multisym	0.020744
amount_comma	4	finance.currency.amount_space	0.012619
amount_comma	5	representation.text.plain_text	0.005650
amount_comma_suffix	1	representation.numeric.integer_number	0.526698
amount_comma_suffix	2	finance.currency.amount_comma	0.129921
amount_comma_suffix	3	finance.currency.amount_space	0.117392
amount_comma_suffix	4	finance.currency.amount	0.069299
amount_comma_suffix	5	representation.text.plain_text	0.055170
amount_crypto	1	representation.text.plain_text	0.327661
amount_crypto	2	representation.file.file_size	0.275824
amount_crypto	3	representation.text.entity_name	0.206165
amount_crypto	4	representation.identifier.alphanumeric_id	0.130410
amount_crypto	5	identity.government.vin	0.017699
amount_lakh	1	finance.currency.amount_comma	0.780544
amount_lakh	2	finance.currency.amount	0.191423
amount_lakh	3	representation.numeric.si_number	0.007882
amount_lakh	4	finance.currency.amount_space	0.006333
amount_lakh	5	representation.text.plain_text	0.004605
amount_multisym	1	finance.currency.amount_comma	0.415143
amount_multisym	2	representation.text.plain_text	0.272947
amount_multisym	3	finance.currency.currency_code	0.094151
amount_multisym	4	finance.currency.amount_code_prefix	0.065511
amount_multisym	5	finance.currency.amount_space	0.028038
amount_neg_trailing	1	representation.numeric.si_number	0.425199
amount_neg_trailing	2	finance.currency.amount	0.392281
amount_neg_trailing	3	finance.currency.amount_comma	0.052067
amount_neg_trailing	4	representation.text.plain_text	0.049043
amount_neg_trailing	5	representation.numeric.decimal_number	0.028303
amount_nodecimal	1	finance.currency.amount	0.638549
amount_nodecimal	2	representation.file.file_size	0.235583
amount_nodecimal	3	representation.text.plain_text	0.087908
amount_nodecimal	4	finance.currency.amount_space	0.012057
amount_nodecimal	5	representation.numeric.si_number	0.007145
amount_space	1	finance.currency.amount	0.616617
amount_space	2	finance.currency.amount_comma	0.242018
amount_space	3	finance.currency.amount_multisym	0.054303
amount_space	4	finance.currency.amount_space	0.045936
amount_space	5	representation.numeric.si_number	0.026321
