sha	column	true	pred	confidence	quality_band	runner_up	rule	vetoed	correct
dd21a04f061cd4decbaa34fcfec2ba414e0d62d2cec42812bacc6aea9d7c5939	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.29128679633140564	low	technology.cryptographic.hash	veto_fallback:id	True	1
5b58a2fcc543c5219334a294a0b766a8ff22225095622c2a108b716938ae75d7	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5395060777664185	low	technology.cryptographic.hash	veto_fallback:id	True	1
ef52ea92de46d1e625939329e36e0dfb746824a670699538827aaa0d864d8fa3	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5983758568763733	low	technology.cryptographic.hash	veto_fallback:id	True	1
c96a74644bec82ef1daf9cc15d449c7b0e5eba6007b62fce7554b1016927071f	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.43788841366767883	low	technology.cryptographic.hash	veto_fallback:id	True	1
56139b2956c25c7e680002e4ca7bf15ba1f5ab53635704f739c7988957929961	nct_id	representation.identifier.alphanumeric_id	identity.government.eu_vat	0.7955220341682434	medium			False	0
cadfedff5b733334c862242d34fdcb2d0abaf12a06fccfc794ada5e012a4075f	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.6143035292625427	low	technology.cryptographic.hash	veto_fallback:id	True	1
7458208a0cdd4de6cb3768392c7224335077ddea5e33e6deb58c16efb1e310a5	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5121621489524841	low	technology.cryptographic.hash	veto_fallback:id	True	1
a934955fcb6a2275affffd05f89040d6f802b76933ec5c1148abefef36c36529	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.44956713914871216	low	technology.cryptographic.hash	veto_fallback:id	True	1
f28eca287a31129fcea05b63665abf52c1071d77ce6bf889a6e319fe2da2ce83	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5875037908554077	low	technology.cryptographic.hash	veto_fallback:id	True	1
4621bb40eda29db8615b595ee18f7f34dd9deef710143b16a606a4da4177afe7	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.36047443747520447	low	technology.cryptographic.hash	veto_fallback:id	True	1
3e6f7bdc354250aa6bdf8f580d2ceda5055af570ffc866af4d9e405d793d4385	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5251924991607666	low	technology.cryptographic.hash	veto_fallback:id	True	1
9d563ab021d1a0e4b4bdba31f7fa0041617a8bafc6132cfd5bd8d4b3304e5bd5	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5816484689712524	low	technology.cryptographic.hash	veto_fallback:id	True	1
cd7cc39ea3c6aee6a2913b479e194fa02847711efb9017fc79f56bf97410aef7	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.6461136341094971	low	technology.cryptographic.hash	veto_fallback:id	True	1
a3e8058674524969749d1719209754638a658fa6741b01b822532f49f4a86c3b	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.4089301824569702	low	technology.cryptographic.hash	veto_fallback:id	True	1
2d4e0b00aa13308dcb38d0661b1e4ca0b84bf31143bfe3793bd88250172849e9	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.563122570514679	low	technology.cryptographic.hash	veto_fallback:id	True	1
96ade317096e9b358b242dcb8d2a380310abeef2dcb3bf055eac0313884e4653	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.5746210217475891	low	technology.cryptographic.hash	veto_fallback:id	True	1
583902414a1d0adc1864cec92777fd2baee27242f0db9608a4d533088eb37821	project_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.9506040215492249	high			False	1
b369d00f75700111dd732fe9716ee04db86b5e9c55028fa8f16457ab2da7b9b3	project_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.9506040215492249	high			False	1
37056ee953f3e8308adffc4423145a25abbf00f9f02d701b57609c5288537657	project_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.9665110111236572	high			False	1
626dd30d41fe3101c2a3f40f6d96371b9f4212792e7c51856c84949ac193aa5f	project_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.9665110111236572	high			False	1
f787a635ac1069322a4405bec849b25dc7b0ca56bc4ec1daa63141302e769e85	project_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.9621259570121765	high			False	1
eddb2cb1d114ba01edf11599b2d1cb9e5efe3c04b1b6750ef8e2b2176125bc75	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	0.6154149770736694	low	technology.cryptographic.hash	veto_fallback:id	True	1
