family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	40	39	3	1	0.929	0.975	0.81-0.98	0.87-1.00
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	58	52	0	6	1.000	0.897	0.93-1.00	0.79-0.95
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_seconds	15	10	3	5	0.769	0.667	0.50-0.92	0.42-0.85
(global)	datetime.offset.iana	3	3	1	0	0.750	1.000	0.30-0.95	0.44-1.00
(global)	datetime.offset.utc	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.iso_8601_milliseconds	1	1	2	0	0.333	1.000	0.06-0.79	0.21-1.00
(global)	datetime.timestamp.sql_standard	11	5	3	6	0.625	0.455	0.31-0.86	0.21-0.72
(global)	finance.currency.amount	5	0	0	5	nan	0.000	n/a	0.00-0.43
(global)	geography.address.postal_code	4	4	2	0	0.667	1.000	0.30-0.90	0.51-1.00
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	24	24	9	0	0.727	1.000	0.56-0.85	0.86-1.00
(global)	geography.location.continent	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.location.country	10	9	1	1	0.900	0.900	0.60-0.98	0.60-0.98
(global)	geography.location.country_code	57	52	2	5	0.963	0.912	0.87-0.99	0.81-0.96
(global)	geography.location.region	15	12	7	3	0.632	0.800	0.41-0.81	0.55-0.93
(global)	geography.location.state_code	7	6	1	1	0.857	0.857	0.49-0.97	0.49-0.97
(global)	geography.transportation.iata_code	2	2	6	0	0.250	1.000	0.07-0.59	0.34-1.00
(global)	geography.transportation.icao_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.commerce.isbn	18	15	0	3	1.000	0.833	0.80-1.00	0.61-0.94
(global)	identity.person.full_name	1	1	5	0	0.167	1.000	0.03-0.56	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.person.username	1	0	1	1	0.000	0.000	0.00-0.79	0.00-0.79
(global)	representation.boolean.terms	10	8	0	2	1.000	0.800	0.68-1.00	0.49-0.94
(global)	representation.discrete.categorical	106	47	7	59	0.870	0.443	0.76-0.94	0.35-0.54
(global)	representation.identifier.alphanumeric_id	59	40	2	19	0.952	0.678	0.84-0.99	0.55-0.78
(global)	representation.identifier.increment	1	1	7	0	0.125	1.000	0.02-0.47	0.21-1.00
(global)	representation.identifier.numeric_code	3	2	1	1	0.667	0.667	0.21-0.94	0.21-0.94
(global)	representation.identifier.uuid	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	representation.numeric.decimal_number	94	76	7	18	0.916	0.809	0.84-0.96	0.72-0.88
(global)	representation.numeric.integer_number	194	162	1	32	0.994	0.835	0.97-1.00	0.78-0.88
(global)	representation.text.entity_name	12	7	6	5	0.538	0.583	0.29-0.77	0.32-0.81
(global)	representation.text.plain_text	21	6	6	15	0.500	0.286	0.25-0.75	0.14-0.50
(global)	representation.text.word	2	0	6	2	0.000	0.000	0.00-0.39	0.00-0.66
(global)	technology.internet.hostname	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.top_level_domain	6	2	0	4	1.000	0.333	0.34-1.00	0.10-0.70
(global)	technology.internet.url	44	44	11	0	0.800	1.000	0.68-0.88	0.92-1.00
