family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	40	39	3	1	0.929	0.975	0.81-0.98	0.87-1.00
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	56	52	0	4	1.000	0.929	0.93-1.00	0.83-0.97
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	4	3	0	1	1.000	0.750	0.44-1.00	0.30-0.95
(global)	datetime.epoch.unix_seconds	15	11	3	4	0.786	0.733	0.52-0.92	0.48-0.89
(global)	datetime.offset.iana	3	3	1	0	0.750	1.000	0.30-0.95	0.44-1.00
(global)	datetime.offset.utc	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.iso_8601_milliseconds	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.sql_standard	11	7	1	4	0.875	0.636	0.53-0.98	0.35-0.85
(global)	finance.currency.amount	5	0	0	5	nan	0.000	n/a	0.00-0.43
(global)	geography.address.postal_code	4	4	2	0	0.667	1.000	0.30-0.90	0.51-1.00
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	23	23	9	0	0.719	1.000	0.55-0.84	0.86-1.00
(global)	geography.location.continent	1	1	1	0	0.500	1.000	0.09-0.91	0.21-1.00
(global)	geography.location.country	10	9	0	1	1.000	0.900	0.70-1.00	0.60-0.98
(global)	geography.location.country_code	57	49	3	8	0.942	0.860	0.84-0.98	0.75-0.93
(global)	geography.location.region	15	10	8	5	0.556	0.667	0.34-0.75	0.42-0.85
(global)	geography.location.state_code	7	5	3	2	0.625	0.714	0.31-0.86	0.36-0.92
(global)	geography.transportation.iata_code	2	2	7	0	0.222	1.000	0.06-0.55	0.34-1.00
(global)	geography.transportation.icao_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.commerce.isbn	18	14	0	4	1.000	0.778	0.78-1.00	0.55-0.91
(global)	identity.person.full_name	1	1	5	0	0.167	1.000	0.03-0.56	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.person.username	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	representation.boolean.terms	10	8	0	2	1.000	0.800	0.68-1.00	0.49-0.94
(global)	representation.discrete.categorical	106	45	44	61	0.506	0.425	0.40-0.61	0.33-0.52
(global)	representation.identifier.alphanumeric_id	59	19	0	40	1.000	0.322	0.83-1.00	0.22-0.45
(global)	representation.identifier.increment	1	0	6	1	0.000	0.000	0.00-0.39	0.00-0.79
(global)	representation.identifier.numeric_code	3	1	4	2	0.200	0.333	0.04-0.62	0.06-0.79
(global)	representation.identifier.uuid	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	representation.numeric.decimal_number	94	72	7	22	0.911	0.766	0.83-0.96	0.67-0.84
(global)	representation.numeric.integer_number	194	132	2	62	0.985	0.680	0.95-1.00	0.61-0.74
(global)	representation.text.entity_name	11	6	5	5	0.545	0.545	0.28-0.79	0.28-0.79
(global)	representation.text.plain_text	20	1	6	19	0.143	0.050	0.03-0.51	0.01-0.24
(global)	representation.text.word	2	0	4	2	0.000	0.000	0.00-0.49	0.00-0.66
(global)	technology.internet.hostname	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.top_level_domain	6	0	3	6	0.000	0.000	0.00-0.56	0.00-0.39
(global)	technology.internet.url	44	44	11	0	0.800	1.000	0.68-0.88	0.92-1.00
