column_name	gold	pred
ID	representation.numeric.integer_number	representation.identifier.increment
__index_level_12__	representation.numeric.integer_number	datetime.component.year
__index_level_32__	representation.numeric.integer_number	datetime.component.year
deferredLongTermLiab	representation.numeric.integer_number	finance.banking.aba_routing
deferredLongTermLiab	representation.numeric.integer_number	representation.identifier.increment
Comments	representation.numeric.integer_number	representation.boolean.binary
noc	representation.numeric.integer_number	representation.boolean.binary
noc	representation.numeric.integer_number	representation.boolean.binary
Submission Time	datetime.epoch.unix_milliseconds	identity.commerce.ean
noc	representation.numeric.integer_number	representation.boolean.binary
confirmed	representation.numeric.integer_number	representation.boolean.binary
venue_country	geography.location.country_code	technology.code.locale_code
PA	representation.text.plain_text	geography.location.country_code
TEAM_ABBREVIATION	representation.text.word	representation.text.entity_name
name	representation.text.plain_text	identity.person.full_name
name	representation.identifier.alphanumeric_id	geography.location.city
groupingname	representation.text.word	representation.text.entity_name
username	identity.person.username	representation.text.word
ipni_id	representation.identifier.alphanumeric_id	unknown
3187480517	representation.numeric.integer_number	
498176	representation.numeric.integer_number	
3110054519	representation.numeric.integer_number	
BenchmarkName	representation.identifier.alphanumeric_id	unknown
idPedido	datetime.epoch.unix_milliseconds	identity.commerce.ean
BenchmarkName	representation.identifier.alphanumeric_id	unknown
BenchmarkName	representation.identifier.alphanumeric_id	representation.text.word
BenchmarkName	representation.identifier.alphanumeric_id	unknown
BenchmarkName	representation.identifier.alphanumeric_id	unknown
1001	representation.numeric.integer_number	
tld	technology.internet.top_level_domain	representation.alphanumeric.alphanumeric_id
Created	datetime.epoch.unix_seconds	representation.numeric.decimal_number
Created	datetime.epoch.unix_seconds	representation.numeric.decimal_number
Created	datetime.epoch.unix_seconds	representation.numeric.decimal_number
Shortname	representation.text.plain_text	representation.text.entity_name
Title	representation.text.plain_text	representation.text.entity_name
ObjectName	representation.text.plain_text	representation.text.entity_name
name	representation.text.entity_name	geography.location.city
id	representation.identifier.alphanumeric_id	geography.coordinate.geohash
title	representation.text.plain_text	container.array.semicolon_separated
permit_type	representation.text.word	representation.alphanumeric.alphanumeric_id
work_type	representation.text.word	geography.location.state_code
job__	representation.numeric.integer_number	representation.text.word
street_name	representation.text.plain_text	geography.address.street_address
leave_status_as_of_june_30	representation.text.word	representation.boolean.terms
type	representation.text.word	representation.alphanumeric.alphanumeric_id
name	representation.text.entity_name	geography.address.street_name
date_of_transfer	datetime.timestamp.sql_standard	unknown
street	representation.text.plain_text	geography.address.street_address
TLD	technology.internet.top_level_domain	representation.discrete.ordinal
IDN_TLD	technology.internet.top_level_domain	representation.text.word
GlobalRank	representation.numeric.integer_number	representation.identifier.increment
April 9, 2021 9:32 PM UTC	representation.text.plain_text	representation.text.entity_name
April 9, 2021 9:32 PM UTC	representation.text.plain_text	representation.text.entity_name
utc	datetime.epoch.unix_seconds	identity.medical.npi
template_name	representation.identifier.alphanumeric_id	finance.crypto.ethereum_address
template_name	representation.identifier.alphanumeric_id	identity.academic.orcid
template_name	representation.identifier.alphanumeric_id	representation.text.plain_text
3.791666667	representation.numeric.decimal_number	
longTermDebt	representation.numeric.integer_number	identity.medical.npi
