text	true_family	model_pred_family	model_correct
header: country_code | values: US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US	country_code	country_code	1
header: CountryCode | values: AT, CZ, DE, DE, EE, EE, ES, FI	country_code	country_code	1
header: NPPES_PROVIDER_COUNTRY | values: US, US, US, US, US, US, US	country_code	country_code	1
header: NPPES_PROVIDER_COUNTRY | values: US, US, US, US, US, US, US	country_code	country_code	1
header: countryCode | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: Country | values: US, US, US, US, US, US, US	country_code	country_code	1
header: country | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: Country | values: AO, AL, AE, AR, AM, AS, AU, AT	country_code	country_code	1
header: country | values: BZ, DO, TR, VE, GR, PE, MX, FO	country_code	country_code	1
header: countryCode | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: countryCode | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_code | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: Country | values: GF, RU, US, MU, US, US, JP, NU	country_code	country_code	1
header: country | values: US, US, US, US, US, US, US, US	country_code	country_code	1
header: country_id | values: US, US, US, US	country_code	country_code	1
header: country_id | values: US, US, US, US	country_code	country_code	1
header: country_id | values: AZ, BR, CN, RO, AR, US, TR, ID	country_code	country_code	1
header: country_code | values: AD, AE, AF, AG, AI, AL, AM, AO	country_code	country_code	1
header: country | values: AD, AE, AF, AG, AI, AL, AM, AN	country_code	country_code	1
header: venue_localized_country_name | values: USA, USA, USA, USA, USA, USA	country	full_name	0
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
header: exchange | values: GER, GER, GER, GER	RESIDUAL	RESIDUAL	1
