column_name	sample_values_truncated
Wind Direction	East│Calm│Calm│Calm│Calm│Calm│Calm│North
School Location	CHINA│California│California│California│District of Columbia│Florida│Illinois│Kentucky
County	GALVESTON│EDDY│EDDY│NELSON│NELSON│GRAND FORKS│POLK│County
2015	06/20/2015│Place,License│1,386083,Austin,Smith,Reno,NV,,│1,448867,Reilly,Fankhauser,Boulder,CO,,│2,469097,Cole,Trickel,Antelope,CA,,│2,460379,Drew,Swall,Sparks,NV,,│06/20/2015│Place,License
Buffer (Km)	Si│Si│Si
Type	OS│OS│OS│OS
Wind Direction	Calm│Calm│East│ESE│SE│ESE│ESE│ESE
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
Buffer (Km)	Si│Si│Si
code	CHEAONE│CHEATWO│CHOONE│CHOTWO
location_code_filter	valga_county_EE│valga_county_EE│valga_county_EE│valga_county_EE│valga_county_EE│valga_county_EE│valga_county_EE│valga_county_EE
in	USAC│Tigers│Bikes│Tigers│NE
Road	Men│Club
interaction_type	LeftGate│RightGate│LeftGate│RightGate│LeftGate│RightGate│Pushed│LeftGate
Downtown	Pro/Cat│Pro│Health│United│United
Location	Location│2 SE SENTINEL│2 SE CORDELL│3 NW CORN│OMEGA│Location│2 WNW VAN HORNE│1 SSE CHICAGO HEIGHTS
note	 │ │ │ │ Yamadazyma farinosum│ farinosa│ │ Yamadazyma haplophilum
Wind Direction	Calm│Calm│Calm│Calm│Calm│Calm│Calm│NW
TitleOfCourtesy	Ms.│USA│Ms.│Mrs.│Mr.│UK│Mr.
Unnamed: 0	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
name	Lascadium│lanatum
EXAMPLE_UCUM_UNITS	mV│mV│mV│mV│mV│mV│mV
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
Wind Direction	ENE│ENE│East│East│East│East│SSE│South
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
Trial	Men
TEAM_CITY	Indiana│Indiana│Indiana│Indiana│Indiana│Indiana│Indiana│Indiana
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
Namespace	MissionEditor2│MissionEditor2│MissionEditor2│MissionEditor2│MissionEditor2│MissionEditor2│MissionEditor2│MissionEditor2
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
OrganisationLabel	South Staffordshire District Council│South Staffordshire District Council│South Staffordshire District Council│South Staffordshire District Council│South Staffordshire District Council│South Staffordshire District Council│South Staffordshire District Council│South Staffordshire District Council
toSearch	york│east knoyle│liverpool│dorset│dorset│dorset
Value	*ki-hi•(-hpa)│*hí•│*ahkihpa│*o-khi(-pa)│híi│wakhí•│kíhiʔš│*akhípha
Brundage	07/04/2010│Place,License│2,317332,Troy,Hilde,Pocatello,ID,6:33,MHF│07/04/2010│Place,License│2,0,austin,nelson,,,6:45,joyride│07/04/2010│Place,License
Namespace	JuliusSweetland.OptiKey.InstallerActions│JuliusSweetland│JuliusSweetland│JuliusSweetland
movieId	movieId│378│416│405│426│412│415│382
property_owner_addrprovince	TX│TX│TX│TX
Severe Significant	Not Significant│Not Significant│Significant│Significant│Significant
User ID	US-WEST-CA-San Francisco│US-WEST-CA-San Francisco│US-WEST-CA-San Francisco│US-WEST-CA-San Francisco│US-WEST-CA-San Francisco│US-WEST-CA-San Francisco│US-WEST-CA-San Francisco│US-WEST-CA-San Francisco
OrganisationLabel	SNH District Council│SNH District Council│SNH District Council│SNH District Council│SNH District Council│SNH District Council│SNH District Council│SNH District Council
DistConocida	Si│Si│Si│Si│Si│Si│Si│Si
created by	يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب│يوسف شريف العبدالوهاب
Active_BacVerNumber	Active_BacVerNumber│Active_BacVerNumber
interaction_type	PickedUp│RightGate│LeftGate│Pushed│RightGate│RightGate│RightGate│RightGate
EstadoDoc	Si│Si│Si│Si│Si│Si│Si│Si
property_owner_addrprovince	TX│NY│TX
interaction_type	PickedUp│RightGate│RightGate│LeftGate│RightGate│LeftGate│RightGate│RightGate
Language_ID	psi│pmv│pse│pda│pwc│pdh│pbo│la
County	County│TENSAS│EAST BATON ROUGE│CLAIBORNE│UNION│INDEPENDENCE│UNION│JEFFERSON
geo_loc_name (city)	North Kelly│Carlashire│South Sandramouth│East Yesenia│Harmonshire│West Sarahfort│Vargasburgh│New Pattyview
LOCCOORD	Mid-Block│Mid-Block│Mid-Block│Intersection│Intersection│Intersection│Intersection│Intersection
was_home	East Robertstad│Christophertown│New Tammy│New Michellehaven│Ericview│New Sergiobury│Cruzhaven│Jeremyshire
Sophomore	Sophomore│Sophomore│Sophomore│Sophomore│Sophomore│Junior│Graduate Student│Sophomore
generation.4	re_potentials│pv_roof_installed_power│SQ│SQ│SQ│SQ│SQ
Region	Latin America & Caribbean│South Asia│Sub-Saharan Africa│Europe & Central Asia│Europe & Central Asia│Middle East & North Africa│Latin America & Caribbean
jurisdiction_id	ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government
Input.word4	Criterion│Criterion│Criterion│Criterion│Criterion│Criterion│Criterion│Criterion
race_ethinicty	Asian│Asian│Asian│Asian│Asian│Asian│Asian│Asian
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
name	GUINEE│CONAKRY│CONAKRY│GUINEE MARITIME│BOKE│KINDIA│MOYENNE GUINEE│MAMOU
TEAM_CITY	New York│New York│New York│New York│New York│New York│New York│New York
V26	orderPres│1│2│3│4│5
ObjectB	GROUND│Mario│BLOCK│Goomba│TUBE_TOP_LEFT│Mario│GROUND│Goomba
Wind Direction	NE│ENE│NE│Calm│Calm│Calm│Calm│SE
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
Wind Direction	East│ENE│SE│ESE│ESE│ESE│NNW│NNW
name	Australian Capital Territory│New South Wales│Northern Territory│Queensland│South Australia│Tasmania│Victoria│Western Australia
location_code_filter	south_bohemian_region_CZ│south_bohemian_region_CZ│south_bohemian_region_CZ│south_bohemian_region_CZ│south_bohemian_region_CZ│south_bohemian_region_CZ│south_bohemian_region_CZ│south_bohemian_region_CZ
Wind Direction	North│North│North│NNW│North│NNE│NE│NE
