0	correct	representation.numeric.integer_number	ms offset written as plain integer, not +HH:MM offset format
1	correct	representation.numeric.decimal_number	ms offset written with .0 decimal point
2	wrong	representation.discrete.categorical	timezone abbreviations are a small closed vocab, not free text
3	wrong	representation.discrete.categorical	timezone abbreviations are a small closed vocab, not free text
4	wrong	representation.discrete.categorical	timezone abbreviations are a small closed vocab, not free text
5	wrong	representation.discrete.categorical	timezone abbreviations are a small closed vocab, not free text
6	wrong	representation.discrete.categorical	timezone abbreviations are a small closed vocab, not free text
7	correct	representation.numeric.integer_number	ms offset written as plain integer
8	correct	representation.numeric.integer_number	ms offset written as plain integer
9	wrong	datetime.timestamp.sql_standard	YYYY-MM-DD HH:MM:SS has a time part; date.iso is date-only
10	correct	representation.text.plain_text	news headlines are free text; header is a stray datetime
11	correct	representation.numeric.decimal_number	offset ms written as decimal
12	correct	representation.numeric.integer_number	ms offset written as plain integer
13	correct	representation.numeric.integer_number	ms offset written as plain integer
14	correct	representation.numeric.decimal_number	offset ms written as decimal
15	correct	representation.numeric.decimal_number	offset ms written as decimal
16	wrong	datetime.timestamp.dmy_hm	D/M/YYYY HH:MM is a DMY timestamp, not a bare date
17	unsure		DD/MM/YYYY HH:MM:SS — no DMY-slash-with-seconds key
18	wrong	datetime.timestamp.sql_standard	YYYY-MM-DD HH:MM:SS timestamp, not date-only
19	wrong	representation.discrete.categorical	US timezone abbrevs CST/PST/EST = small closed vocab
20	correct	representation.numeric.integer_number	ms value written as plain integer
21	unsure		ISO T-separated timestamp without Z/offset — no exact taxonomy key
22	correct	representation.text.plain_text	news headlines are free text
23	wrong	datetime.offset.iana	Pacific/Pitcairn etc are IANA timezone names — dedicated key exists
24	wrong	datetime.timestamp.iso_8601_milliseconds	JS toISOString format .987Z exactly matches this key
25	correct	representation.numeric.integer_number	all-zero integers; no evidence of richer type
26	correct	datetime.date.dmy_slash	pure DD/MM/YYYY dates, no time part
27	correct	datetime.epoch.unix_seconds	10-digit epochs (~Jan 2019)
28	unsure		mostly small vocab but one free-form FWS date breaks closed-set reading
29	wrong	datetime.offset.iana	America/New_York is an IANA timezone name
30	wrong	representation.boolean.terms	false/true word booleans, not TLDs
31	wrong	representation.boolean.terms	false/true word booleans
32	correct	technology.internet.url	https URLs
33	wrong	geography.address.full_address	multi-line US street+city+state+zip addresses
34	wrong	representation.boolean.terms	false/true word booleans
35	wrong	representation.boolean.terms	false/true word booleans
36	wrong	representation.identifier.alphanumeric_id	hipc_ctf_24725414_7 is an identifier token, not free text
37	wrong	representation.boolean.terms	false/true word booleans
38	correct	representation.text.plain_text	GCP resource paths; no specific key, plain_text fallback
