family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	datetime.component.year	36	36	2	0	0.947	1.000	0.83-0.99	0.90-1.00
(global)	datetime.date.iso	67	52	0	15	1.000	0.776	0.93-1.00	0.66-0.86
(global)	datetime.epoch.unix_seconds	11	10	0	1	1.000	0.909	0.72-1.00	0.62-0.98
(global)	datetime.offset.utc	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.address.postal_code	2	2	25	0	0.074	1.000	0.02-0.23	0.34-1.00
(global)	geography.coordinate.latitude	39	39	0	0	1.000	1.000	0.91-1.00	0.91-1.00
(global)	geography.coordinate.longitude	35	35	0	0	1.000	1.000	0.90-1.00	0.90-1.00
(global)	geography.location.city	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	geography.location.country_code	42	34	1	8	0.971	0.810	0.85-0.99	0.67-0.90
(global)	identity.commerce.isbn	17	14	6	3	0.700	0.824	0.48-0.85	0.59-0.94
(global)	representation.discrete.categorical	39	31	6	8	0.838	0.795	0.69-0.92	0.64-0.89
(global)	representation.identifier.alphanumeric_id	39	5	0	34	1.000	0.128	0.57-1.00	0.06-0.27
(global)	representation.numeric.decimal_number	56	53	0	3	1.000	0.946	0.93-1.00	0.85-0.98
(global)	representation.numeric.integer_number	146	57	0	89	1.000	0.390	0.94-1.00	0.32-0.47
(global)	representation.text.plain_text	25	5	0	20	1.000	0.200	0.57-1.00	0.09-0.39
(global)	technology.internet.top_level_domain	6	2	0	4	1.000	0.333	0.34-1.00	0.10-0.70
(global)	technology.internet.url	27	27	5	0	0.844	1.000	0.68-0.93	0.88-1.00
