id	author_label
g0060	representation.text.plain_text
g0072	representation.numeric.decimal_number
g0073	representation.numeric.decimal_number
g0074	representation.numeric.decimal_number
g0075	representation.numeric.decimal_number
g0076	representation.numeric.decimal_number
g0077	representation.numeric.decimal_number
g0078	representation.numeric.decimal_number
g0079	representation.numeric.decimal_number
g0103	datetime.epoch.unix_milliseconds
g0137	technology.internet.top_level_domain
g0138	technology.internet.top_level_domain
g0139	technology.internet.top_level_domain
g0142	representation.numeric.integer_number
g0156	representation.numeric.decimal_number
g0157	representation.numeric.decimal_number
g0158	representation.numeric.decimal_number
g0159	representation.numeric.decimal_number
g0162	representation.numeric.decimal_number
g0164	representation.numeric.decimal_number
g0165	representation.numeric.decimal_number
g0224	representation.numeric.integer_number
g0254	technology.internet.top_level_domain
g0255	technology.internet.top_level_domain
