id	kind	verdict	current_gold	model_pred	panel_opus	c_opus	panel_sonnet	c_sonnet	panel_haiku	c_haiku	panel_adv	agree	mean_conf	sample_values
p0151	control	PROPOSE	representation.numeric.integer_number	representation.numeric.integer_number	categorical	0.8	categorical	0.9	integer_number	0.92	categorical	2	0.85	11 | 2 | 10 | 8 | 7 | 5 | 9 | 4 | 6 | 3 | 1
p0164	control	PROPOSE	datetime.date.mdy_slash	datetime.date.mdy_slash	iso	0.95	iso	0.97	iso	0.98	iso	3	0.97	2008-06-23 | 2020-06-27 | 2021-04-14 | 2020-07-06 | 1996-01-30 | 2022-08-15 | 2007-10-01 | 2002-11-18 | 2021-02-09 | 2021-02-01 | 2006-03-22 | 2021-04-30 | 2021-04-20 | 2021-06-08 | 2019-11-01 | 2022-09-21 | 2022-10-03 | 2013-11-08 | 2006-09-21 | 2021-03-29
p0174	datetime-rerun	PROPOSE	datetime.date.iso	datetime.timestamp.sql_standard	sql_standard	0.95	sql_standard	0.97	sql_standard	0.95	sql_standard	3	0.96	2014-04-30 14:38:28 | 2019-05-23 20:12:22 | 2019-08-02 22:37:25 | 2020-05-21 06:44:14 | 2020-09-14 06:01:21 | 2021-02-13 17:56:56 | 2018-09-07 21:36:06 | 2014-11-24 17:11:12 | 2017-11-20 19:50:46 | 2017-12-26 10:20:38 | 2018-11-18 17:11:47 | 2013-12-26 13:05:46 | 2014-05-01 17:45:34 | 2012-06-13 04:18:26 | 2018-08-09 10:57:23 | 2017-04-05 17:09:53 | 2019-09-06 18:00:31 | 2018-02-14 04:26:27 | 2014-11-22 03:13:10 | 2018-02-05 15:05:54
p0175	datetime-rerun	PROPOSE	datetime.date.iso	datetime.timestamp.sql_standard	sql_standard	0.95	sql_standard	0.97	sql_standard	0.98	sql_standard	3	0.97	2001-06-05 20:35:20 | 2002-02-05 07:19:10 | 2002-02-22 03:56:11 | 2001-05-24 04:35:41 | 2001-11-15 20:14:35 | 2001-10-11 22:52:49 | 2002-03-04 15:27:59 | 2002-02-28 20:58:54 | 2002-02-05 07:28:13 | 2002-02-06 06:00:02 | 2002-01-10 13:24:51 | 2002-01-29 15:03:22 | 2001-11-15 18:10:14 | 2002-03-22 18:11:02 | 2002-01-29 02:18:19 | 2002-01-29 04:02:54 | 2001-05-28 18:58:58 | 2001-10-11 17:21:05 | 2001-03-05 10:31:00 | 2001-10-26 05:21:59
p0176	datetime-rerun	PROPOSE	datetime.date.iso	datetime.timestamp.sql_standard	sql_standard	0.95	sql_standard	0.97	sql_standard	0.98	sql_standard	3	0.97	2001-10-01 07:46:01 | 2002-01-09 08:26:27 | 2001-10-29 06:22:07 | 2001-10-25 06:11:56 | 2001-10-23 16:38:07 | 2001-10-17 14:15:05 | 2001-10-29 16:35:12 | 2001-07-23 14:46:41 | 2001-09-04 10:38:42 | 2001-10-01 06:50:56 | 2002-01-07 15:40:13 | 2002-01-24 10:55:56 | 2002-01-24 04:59:08 | 2002-01-22 15:40:25 | 2002-02-26 07:07:57 | 2001-08-17 09:05:03 | 2001-06-13 06:21:23 | 2001-12-11 10:42:41 | 2001-10-17 13:27:01 | 2001-08-24 06:55:36
p0214	datetime-rerun	PROPOSE	datetime.date.iso	unknown	sql_standard	0.92	sql_standard	0.97	sql_standard	0.98	sql_standard	3	0.96	2025-05-19 00:00:00 | 2009-06-15 00:00:00 | 2024-02-12 00:00:00 | 2024-09-09 00:00:00 | 2024-05-20 00:00:00 | 2017-08-14 00:00:00 | 2017-02-06 00:00:00 | 2024-06-10 00:00:00 | 2020-02-18 00:00:00 | 2018-03-05 00:00:00 | 2019-04-29 00:00:00 | 2017-10-23 00:00:00 | 2025-06-02 00:00:00 | 2011-10-24 00:00:00 | 2023-03-20 00:00:00 | 2001-08-27 00:00:00 | 2021-01-25 00:00:00 | 2006-05-15 00:00:00 | 2000-06-12 00:00:00 | 2018-10-29 00:00:00
p0215	datetime-rerun	PROPOSE	datetime.date.iso	unknown	sql_standard	0.95	sql_standard	0.97	sql_standard	0.98	sql_standard	3	0.97	2026-05-31 23:46:00 | 2026-05-31 23:28:00 | 2026-05-31 23:19:00 | 2026-05-31 22:55:00 | 2026-05-31 21:45:00 | 2026-05-31 21:15:00 | 2026-05-31 20:45:00 | 2026-05-31 18:41:00 | 2026-05-31 18:38:00 | 2026-05-31 18:30:00 | 2026-05-31 18:10:00 | 2026-05-31 18:00:00 | 2026-05-31 17:30:00 | 2026-05-31 16:34:00 | 2026-05-31 15:35:00 | 2026-05-31 15:29:00 | 2026-05-31 14:57:00 | 2026-05-31 14:45:00 | 2026-05-31 14:38:00 | 2026-05-31 14:34:00
p0216	datetime-rerun	PROPOSE	datetime.date.iso	datetime.timestamp.iso_8601_micros_offset	sql_standard	0.95	sql_standard	0.97	sql_standard	0.98	sql_standard	3	0.97	2026-06-07 15:43:51 | 2026-06-03 15:42:40 | 2026-05-30 15:44:16 | 2026-05-24 15:42:13 | 2026-05-11 15:43:10 | 2026-06-04 15:42:26 | 2026-06-05 15:43:59 | 2026-05-30 15:43:01 | 2026-05-23 15:42:11 | 2026-05-21 15:42:40 | 2026-05-20 15:42:35 | 2026-05-18 15:42:59 | 2026-05-17 15:41:15 | 2026-05-10 15:42:06 | 2026-06-08 15:42:19 | 2026-06-01 15:40:56 | 2026-05-29 15:45:19 | 2026-05-26 15:43:06 | 2026-05-25 15:41:30 | 2026-05-14 15:41:50
p0217	datetime-rerun	PROPOSE	datetime.date.iso	datetime.timestamp.iso_8601_millis_offset	sql_standard	0.92	sql_standard	0.95	sql_standard	0.98	sql_standard	3	0.95	2006-01-01 00:00:00 | 2007-01-01 00:00:00 | 2016-11-16 00:00:00 | 2010-12-06 00:00:00 | 2011-09-07 00:00:00 | 2004-07-01 00:00:00 | 2018-02-28 00:00:00 | 1992-08-01 00:00:00 | 2017-11-20 00:00:00 | 1988-07-01 00:00:00 | 2017-08-07 00:00:00 | 2017-04-12 00:00:00 | 2017-10-28 00:00:00 | 2015-10-06 00:00:00 | 2007-08-21 00:00:00 | 2025-04-02 00:00:00 | 2005-08-18 00:00:00 | 2008-08-01 00:00:00 | 2020-11-06 00:00:00 | 1995-04-17 00:00:00
p0218	datetime-rerun	PROPOSE	datetime.date.iso	representation.identifier.alphanumeric_id	sql_standard	0.92	sql_standard	0.95	sql_standard	0.98	sql_standard	3	0.95	2011-05-01 00:00:00 | 2006-01-01 00:00:00 | 2015-11-23 00:00:00 | 2014-06-24 00:00:00 | 2007-01-01 00:00:00 | 2016-11-16 00:00:00 | 2015-12-01 00:00:00 | 2011-09-07 00:00:00 | 2009-02-06 00:00:00 | 2018-02-28 00:00:00 | 2017-11-20 00:00:00 | 1988-07-01 00:00:00 | 2017-08-07 00:00:00 | 2012-08-17 00:00:00 | 2017-10-28 00:00:00 | 2015-10-06 00:00:00 | 2019-03-07 00:00:00 | 2007-08-21 00:00:00 | 2025-04-02 00:00:00 | 2020-10-15 00:00:00
