representation.numeric.decimal_number	217792
representation.numeric.integer_number	98681
unknown	81268
representation.text.plain_text	44993
representation.text.entity_name	33087
finance.currency.amount	28638
representation.identifier.increment	24898
representation.text.word	23294
representation.boolean.terms	16941
identity.person.full_name	15588
representation.discrete.categorical	13344
representation.identifier.alphanumeric_id	11498
representation.numeric.percentage	10608
geography.address.postal_code	9233
representation.discrete.ordinal	8132
technology.internet.url	7464
representation.numeric.si_number	7066
geography.location.city	6558
container.array.comma_separated	6489
representation.boolean.binary	6400
datetime.component.year	6092
representation.boolean.initials	6086
datetime.timestamp.iso_8601	5332
geography.location.region	4192
geography.address.full_address	4184
representation.identifier.uuid	4124
datetime.date.abbreviated_month	3629
identity.person.phone_number	3553
geography.location.country	3401
technology.cryptographic.hash	3359
datetime.date.iso	2984
datetime.epoch.unix_seconds	2885
finance.banking.aba_routing	2786
representation.identifier.numeric_code	2705
geography.transportation.iata_code	2575
geography.location.country_code	2391
datetime.timestamp.sql_standard	2319
identity.person.gender	2302
identity.person.gender_code	2264
geography.coordinate.latitude	2213
technology.internet.user_agent	2195
identity.medical.npi	2137
datetime.date.mdy_slash	1996
finance.currency.currency_code	1991
identity.person.height	1910
identity.commerce.isbn	1890
datetime.time.hm_24h	1806
identity.person.blood_type	1748
technology.code.locale_code	1660
representation.file.extension	1624
datetime.component.periodicity	1595
identity.commerce.ean	1588
datetime.offset.utc	1556
technology.identifier.tsid	1528
geography.coordinate.longitude	1495
representation.file.excel_format	1465
identity.person.last_name	1454
representation.scientific.measurement_unit	1394
identity.commerce.upc	1377
technology.internet.hostname	1367
technology.internet.top_level_domain	1315
container.object.html	1289
representation.alphanumeric.alphanumeric_id	1207
geography.location.state	1204
datetime.timestamp.iso_8601_milliseconds	1192
datetime.component.day_of_week	1188
datetime.offset.iana	1179
datetime.timestamp.iso_8601_compact	1135
representation.text.emoji	1131
geography.coordinate.geohash	1072
identity.person.username	1067
identity.person.email	1057
representation.file.file_size	1016
identity.person.password	1014
datetime.period.quarter	995
representation.scientific.smiles	991
technology.internet.http_method	948
technology.cryptographic.jwt	907
identity.person.first_name	880
finance.currency.amount_accounting	866
technology.development.version	865
representation.numeric.decimal_number_comma	842
geography.coordinate.coordinates	836
technology.cryptographic.token_urlsafe	786
datetime.date.compact_ymd	775
geography.address.street_suffix	759
datetime.timestamp.rfc_3339	745
technology.code.doi	731
datetime.date.jp_era_long	722
finance.crypto.ethereum_address	711
datetime.timestamp.mdy_12h	709
identity.medical.loinc	704
technology.code.imei	701
representation.file.mime_type	701
representation.numeric.scientific_notation	674
datetime.time.hms_24h	651
datetime.timestamp.mdy_24h	648
finance.rate.yield	645
geography.index.h3	638
geography.transportation.icao_code	634
technology.internet.data_uri	617
geography.address.street_address	604
finance.securities.sedol	595
container.array.whitespace_separated	584
identity.person.weight	577
datetime.timestamp.iso_microseconds	565
datetime.date.ymd_slash	560
geography.location.state_code	559
technology.internet.ip_v4	559
container.array.semicolon_separated	545
technology.cloud.s3_uri	539
geography.location.continent	537
datetime.date.compact_ym	530
datetime.timestamp.sql_milliseconds	525
datetime.epoch.unix_milliseconds	520
finance.currency.amount_space	516
finance.currency.currency_symbol	514
datetime.date.mdy_dash	501
technology.development.docker_ref	499
container.array.pipe_separated	499
identity.government.ein	495
representation.scientific.rna_sequence	492
identity.medical.cpt	490
finance.banking.swift_bic	490
datetime.date.dmy_slash	488
finance.securities.cusip	487
geography.transportation.unlocode	479
container.object.xml	478
datetime.time.hm_12h	474
identity.commerce.issn	464
datetime.component.month_name	463
datetime.date.compact_mdy	461
geography.contact.calling_code	454
datetime.date.long_full_month	453
identity.medical.hcpcs	452
technology.identifier.snowflake_id	451
identity.medical.icd10	447
representation.format.color_hex	440
datetime.timestamp.dmy_hm	440
datetime.timestamp.iso_8601_offset	436
datetime.timestamp.sql_microseconds	434
container.object.yaml	434
technology.internet.ip_v6	430
representation.scientific.dna_sequence	429
representation.format.color_hsl	429
datetime.duration.iso_8601	427
datetime.date.korean_ymd	426
geography.coordinate.dms	426
datetime.date.dmy_short_dot	416
datetime.date.month_year_full	413
datetime.timestamp.sql_microseconds_offset	411
finance.crypto.bitcoin_address	410
datetime.date.year_month	410
datetime.date.mdy_short_slash	409
finance.currency.amount_comma	408
datetime.timestamp.syslog_bsd	407
datetime.date.dmy_dash_abbrev_short	407
finance.payment.credit_card_number	406
technology.cloud.aws_arn	399
datetime.epoch.unix_microseconds	388
identity.government.eu_vat	387
datetime.time.hms_12h	383
finance.banking.bsb	363
technology.internet.urn	357
finance.banking.iban	355
technology.development.calver	352
datetime.timestamp.pg_short_offset	348
identity.financial.currency_code	328
technology.development.os	321
datetime.date.compact_dmy	310
finance.rate.basis_points	306
representation.scientific.cas_number	298
geography.format.wkt	293
datetime.timestamp.iso_8601_millis_offset	282
finance.currency.amount_nodecimal	280
container.key_value.query_string	274
representation.scientific.protein_sequence	268
datetime.date.weekday_abbreviated_month	264
datetime.date.short_ymd	262
datetime.date.jp_era_short	260
representation.format.color_rgb	257
datetime.timestamp.slash_ymd_24h	226
datetime.date.month_year_abbrev	226
datetime.date.dmy_dash_abbrev	221
identity.credential.password	216
datetime.date.weekday_full_month	211
datetime.date.dmy_short_slash	205
technology.identifier.ulid	204
datetime.period.fiscal_year	202
identity.academic.orcid	194
finance.securities.lei	190
datetime.timestamp.iso_8601_micros_offset	185
finance.currency.amount_apostrophe	181
geography.transportation.iso6346	180
datetime.date.short_mdy	179
geography.address.street_name	171
identity.medical.dea_number	168
datetime.date.dmy_dot	168
datetime.date.iso_week	166
datetime.date.chinese_ymd	155
finance.securities.isin	153
finance.currency.amount_crypto	151
datetime.date.dmy_dash	146
identity.commerce.isrc	134
identity.person.phone_e164	128
datetime.date.short_dmy	118
technology.internet.cidr	112
identity.government.pan_india	109
finance.currency.amount_comma_suffix	101
datetime.date.weekday_dmy_full	96
datetime.timestamp.ctime	94
identity.person.email_display	92
geography.coordinate.mgrs	80
datetime.time.iso	79
container.object.csv	76
technology.internet.ip_v4_with_port	72
datetime.date.month_year_slash	70
datetime.date.dmy_space_abbrev	68
geography.coordinate.plus_code	63
datetime.timestamp.rfc_2822	63
datetime.date.full_month_no_comma	56
datetime.timestamp.dot_dmy_24h	53
datetime.timestamp.clf	52
datetime.date.julian	51
technology.container.docker_ref	45
identity.government.abn	45
finance.currency.amount_multisym	39
datetime.timestamp.iso_8601_microseconds	35
datetime.date.abbrev_month_no_comma	35
datetime.date.dmy_space_full	31
technology.identifier.uuid	31
technology.internet.mac_address	25
finance.securities.figi	22
finance.currency.amount_neg_trailing	19
datetime.date.ymd_dot	19
datetime.date.ordinal	18
finance.currency.amount_code_prefix	8
identity.government.vin	7
datetime.timestamp.rfc_2822_ordinal	7
identity.government.ssn	7
datetime.timestamp.dot_ymd_24h	3
finance.currency.amount_lakh	2
datetime.timestamp.iso_space_zulu	2
