family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	40	40	3	0	0.930	1.000	0.81-0.98	0.91-1.00
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	67	52	0	15	1.000	0.776	0.93-1.00	0.66-0.86
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	2	2	1	0	0.667	1.000	0.21-0.94	0.34-1.00
(global)	datetime.epoch.unix_seconds	12	8	1	4	0.889	0.667	0.56-0.98	0.39-0.86
(global)	datetime.offset.iana	3	3	1	0	0.750	1.000	0.30-0.95	0.44-1.00
(global)	datetime.offset.utc	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.timestamp.iso_8601_milliseconds	1	1	2	0	0.333	1.000	0.06-0.79	0.21-1.00
(global)	datetime.timestamp.sql_standard	2	2	6	0	0.250	1.000	0.07-0.59	0.34-1.00
(global)	finance.currency.amount	5	3	17	2	0.150	0.600	0.05-0.36	0.23-0.88
(global)	geography.address.full_address	4	4	7	0	0.364	1.000	0.15-0.65	0.51-1.00
(global)	geography.address.postal_code	4	3	1	1	0.750	0.750	0.30-0.95	0.30-0.95
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	24	23	8	1	0.742	0.958	0.57-0.86	0.80-0.99
(global)	geography.location.continent	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.location.country	10	10	3	0	0.769	1.000	0.50-0.92	0.72-1.00
(global)	geography.location.country_code	57	48	2	9	0.960	0.842	0.87-0.99	0.73-0.91
(global)	geography.location.region	15	6	13	9	0.316	0.400	0.15-0.54	0.20-0.64
(global)	geography.location.state_code	7	0	1	7	0.000	0.000	0.00-0.79	0.00-0.35
(global)	geography.transportation.iata_code	2	2	7	0	0.222	1.000	0.06-0.55	0.34-1.00
(global)	geography.transportation.icao_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.commerce.isbn	18	15	9	3	0.625	0.833	0.43-0.79	0.61-0.94
(global)	identity.person.full_name	1	1	5	0	0.167	1.000	0.03-0.56	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	representation.boolean.terms	10	8	1	2	0.889	0.800	0.56-0.98	0.49-0.94
(global)	representation.discrete.categorical	101	43	8	58	0.843	0.426	0.72-0.92	0.33-0.52
(global)	representation.identifier.alphanumeric_id	54	34	3	20	0.919	0.630	0.79-0.97	0.50-0.75
(global)	representation.identifier.increment	1	1	18	0	0.053	1.000	0.01-0.25	0.21-1.00
(global)	representation.identifier.numeric_code	3	3	0	0	1.000	1.000	0.44-1.00	0.44-1.00
(global)	representation.identifier.uuid	1	1	1	0	0.500	1.000	0.09-0.91	0.21-1.00
(global)	representation.numeric.decimal_number	97	85	2	12	0.977	0.876	0.92-0.99	0.80-0.93
(global)	representation.numeric.integer_number	196	116	1	80	0.991	0.592	0.95-1.00	0.52-0.66
(global)	representation.text.entity_name	6	5	19	1	0.208	0.833	0.09-0.40	0.44-0.97
(global)	representation.text.plain_text	39	9	2	30	0.818	0.231	0.52-0.95	0.13-0.38
(global)	representation.text.word	2	0	5	2	0.000	0.000	0.00-0.43	0.00-0.66
(global)	technology.internet.hostname	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.top_level_domain	6	2	1	4	0.667	0.333	0.21-0.94	0.10-0.70
(global)	technology.internet.url	44	44	17	0	0.721	1.000	0.60-0.82	0.92-1.00
