family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	40	40	3	0	0.930	1.000	0.81-0.98	0.91-1.00
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	67	52	0	15	1.000	0.776	0.93-1.00	0.66-0.86
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	2	0	0	2	nan	0.000	n/a	0.00-0.66
(global)	datetime.epoch.unix_seconds	12	9	1	3	0.900	0.750	0.60-0.98	0.47-0.91
(global)	datetime.offset.iana	3	2	1	1	0.667	0.667	0.21-0.94	0.21-0.94
(global)	datetime.offset.utc	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.timestamp.iso_8601_milliseconds	1	1	2	0	0.333	1.000	0.06-0.79	0.21-1.00
(global)	datetime.timestamp.sql_standard	2	2	6	0	0.250	1.000	0.07-0.59	0.34-1.00
(global)	finance.currency.amount	5	2	18	3	0.100	0.400	0.03-0.30	0.12-0.77
(global)	geography.address.full_address	4	4	1	0	0.800	1.000	0.38-0.96	0.51-1.00
(global)	geography.address.postal_code	4	4	2	0	0.667	1.000	0.30-0.90	0.51-1.00
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	24	23	11	1	0.676	0.958	0.51-0.81	0.80-0.99
(global)	geography.location.continent	1	1	3	0	0.250	1.000	0.05-0.70	0.21-1.00
(global)	geography.location.country	10	9	2	1	0.818	0.900	0.52-0.95	0.60-0.98
(global)	geography.location.country_code	57	44	2	13	0.957	0.772	0.85-0.99	0.65-0.86
(global)	geography.location.region	15	8	18	7	0.308	0.533	0.17-0.50	0.30-0.75
(global)	geography.location.state_code	7	0	2	7	0.000	0.000	0.00-0.66	0.00-0.35
(global)	geography.transportation.iata_code	2	2	7	0	0.222	1.000	0.06-0.55	0.34-1.00
(global)	geography.transportation.icao_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.commerce.isbn	18	16	10	2	0.615	0.889	0.43-0.78	0.67-0.97
(global)	identity.person.full_name	1	1	5	0	0.167	1.000	0.03-0.56	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	representation.boolean.terms	10	8	0	2	1.000	0.800	0.68-1.00	0.49-0.94
(global)	representation.discrete.categorical	101	40	7	61	0.851	0.396	0.72-0.93	0.31-0.49
(global)	representation.identifier.alphanumeric_id	54	34	9	20	0.791	0.630	0.65-0.89	0.50-0.75
(global)	representation.identifier.increment	1	1	18	0	0.053	1.000	0.01-0.25	0.21-1.00
(global)	representation.identifier.numeric_code	3	1	0	2	1.000	0.333	0.21-1.00	0.06-0.79
(global)	representation.identifier.uuid	1	0	1	1	0.000	0.000	0.00-0.79	0.00-0.79
(global)	representation.numeric.decimal_number	97	83	3	14	0.965	0.856	0.90-0.99	0.77-0.91
(global)	representation.numeric.integer_number	196	119	1	77	0.992	0.607	0.95-1.00	0.54-0.67
(global)	representation.text.entity_name	6	5	15	1	0.250	0.833	0.11-0.47	0.44-0.97
(global)	representation.text.plain_text	39	8	14	31	0.364	0.205	0.20-0.57	0.11-0.36
(global)	representation.text.word	2	0	10	2	0.000	0.000	0.00-0.28	0.00-0.66
(global)	technology.internet.hostname	2	2	1	0	0.667	1.000	0.21-0.94	0.34-1.00
(global)	technology.internet.top_level_domain	6	4	1	2	0.800	0.667	0.38-0.96	0.30-0.90
(global)	technology.internet.url	44	36	17	8	0.679	0.818	0.55-0.79	0.68-0.90
