family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	41	39	3	2	0.929	0.951	0.81-0.98	0.84-0.99
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	58	52	0	6	1.000	0.897	0.93-1.00	0.79-0.95
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	4	4	4	0	0.500	1.000	0.22-0.78	0.51-1.00
(global)	datetime.epoch.unix_seconds	15	10	6	5	0.625	0.667	0.39-0.82	0.42-0.85
(global)	datetime.offset.iana	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.offset.utc	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.timestamp.iso_8601_milliseconds	1	1	2	0	0.333	1.000	0.06-0.79	0.21-1.00
(global)	datetime.timestamp.sql_standard	11	6	3	5	0.667	0.545	0.35-0.88	0.28-0.79
(global)	finance.currency.amount	5	0	0	5	nan	0.000	n/a	0.00-0.43
(global)	geography.address.postal_code	4	3	1	1	0.750	0.750	0.30-0.95	0.30-0.95
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	24	23	8	1	0.742	0.958	0.57-0.86	0.80-0.99
(global)	geography.location.continent	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.location.country	11	9	2	2	0.818	0.818	0.52-0.95	0.52-0.95
(global)	geography.location.country_code	54	54	3	0	0.947	1.000	0.86-0.98	0.93-1.00
(global)	geography.location.region	15	11	5	4	0.688	0.733	0.44-0.86	0.48-0.89
(global)	geography.location.state_code	7	7	1	0	0.875	1.000	0.53-0.98	0.65-1.00
(global)	geography.transportation.iata_code	2	2	2	0	0.500	1.000	0.15-0.85	0.34-1.00
(global)	geography.transportation.icao_code	1	1	1	0	0.500	1.000	0.09-0.91	0.21-1.00
(global)	identity.commerce.isbn	18	9	0	9	1.000	0.500	0.70-1.00	0.29-0.71
(global)	identity.person.full_name	1	1	14	0	0.067	1.000	0.01-0.30	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.person.username	1	0	1	1	0.000	0.000	0.00-0.79	0.00-0.79
(global)	representation.boolean.terms	10	8	0	2	1.000	0.800	0.68-1.00	0.49-0.94
(global)	representation.file.extension	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	representation.identifier.alphanumeric_id	62	33	4	29	0.892	0.532	0.75-0.96	0.41-0.65
(global)	representation.identifier.increment	1	1	7	0	0.125	1.000	0.02-0.47	0.21-1.00
(global)	representation.identifier.numeric_code	3	3	0	0	1.000	1.000	0.44-1.00	0.44-1.00
(global)	representation.identifier.uuid	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	representation.numeric.decimal_number	94	76	7	18	0.916	0.809	0.84-0.96	0.72-0.88
(global)	representation.numeric.integer_number	194	161	2	33	0.988	0.830	0.96-1.00	0.77-0.88
(global)	representation.text.RESIDUAL	129	65	13	64	0.833	0.504	0.74-0.90	0.42-0.59
(global)	representation.text.entity_name	8	2	8	6	0.200	0.250	0.06-0.51	0.07-0.59
(global)	technology.internet.hostname	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.top_level_domain	6	2	1	4	0.667	0.333	0.21-0.94	0.10-0.70
(global)	technology.internet.url	44	44	11	0	0.800	1.000	0.68-0.88	0.92-1.00
