family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	datetime.date.iso	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.month_year_full	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.epoch.unix_seconds	5	4	3	1	0.571	0.800	0.25-0.84	0.38-0.96
(global)	datetime.offset.iana	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.time.hms_24h	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.timestamp.iso_8601	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.iso_8601_milliseconds	2	0	0	2	nan	0.000	n/a	0.00-0.66
(global)	finance.currency.amount	2	0	0	2	nan	0.000	n/a	0.00-0.66
(global)	geography.address.postal_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.coordinate.latitude	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	geography.coordinate.longitude	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.location.city	3	3	0	0	1.000	1.000	0.44-1.00	0.44-1.00
(global)	geography.location.country	1	1	2	0	0.333	1.000	0.06-0.79	0.21-1.00
(global)	geography.location.country_code	1	1	1	0	0.500	1.000	0.09-0.91	0.21-1.00
(global)	identity.person.email	2	1	0	1	1.000	0.500	0.21-1.00	0.09-0.91
(global)	identity.person.first_name	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	identity.person.full_name	4	4	9	0	0.308	1.000	0.13-0.58	0.51-1.00
(global)	identity.person.username	12	7	1	5	0.875	0.583	0.53-0.98	0.32-0.81
(global)	representation.boolean.binary	8	4	4	4	0.500	0.500	0.22-0.78	0.22-0.78
(global)	representation.boolean.initials	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	representation.boolean.terms	6	6	0	0	1.000	1.000	0.61-1.00	0.61-1.00
(global)	representation.discrete.ordinal	1	0	3	1	0.000	0.000	0.00-0.56	0.00-0.79
(global)	representation.format.color_hex	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	representation.identifier.alphanumeric_id	6	1	0	5	1.000	0.167	0.21-1.00	0.03-0.56
(global)	representation.identifier.increment	9	8	2	1	0.800	0.889	0.49-0.94	0.56-0.98
(global)	representation.identifier.numeric_code	15	0	0	15	nan	0.000	n/a	0.00-0.20
(global)	representation.identifier.uuid	2	1	0	1	1.000	0.500	0.21-1.00	0.09-0.91
(global)	representation.numeric.decimal_number	6	3	3	3	0.500	0.500	0.19-0.81	0.19-0.81
(global)	representation.numeric.integer_number	69	64	13	5	0.831	0.928	0.73-0.90	0.84-0.97
(global)	representation.numeric.percentage	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	representation.scientific.dna_sequence	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	representation.text.RESIDUAL	76	47	4	29	0.922	0.618	0.81-0.97	0.51-0.72
(global)	representation.text.entity_name	2	2	4	0	0.333	1.000	0.10-0.70	0.34-1.00
(global)	technology.code.doi	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	technology.code.locale_code	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	technology.cryptographic.hash	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.ip_v4	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	technology.internet.url	5	5	2	0	0.714	1.000	0.36-0.92	0.57-1.00
