bucket	column_name	gold	sense_pred	composed_pred	sha
d_both_right	Year	datetime.component.year	datetime.component.year	datetime.component.year	0028d84c524a
d_both_right	year	datetime.component.year	datetime.component.year	datetime.component.year	006226661bc2
d_both_right	LDPE	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	006375069f2b
d_both_right	country_id:id	geography.location.country_code	geography.location.country_code	geography.location.country_code	00a39a6585a8
a_sharpen_rescued	id	geography.location.country_code	geography.location.region	geography.location.country_code	00f12cef362c
d_both_right	County	geography.location.region	geography.location.region	geography.location.region	01dc44536cc6
d_both_right	averageDailyVolume10Day	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	01ebeff3cd2f
d_both_right	country	geography.location.country	geography.location.country	geography.location.country	01ebeff3cd2f
c_both_wrong	REC_DIR	representation.text.plain_text	representation.text.word	representation.text.word	021dc73b1374
a_sharpen_rescued	Latitude	geography.coordinate.latitude	geography.coordinate.longitude	geography.coordinate.latitude	02866d6d4950
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	02866d6d4950
a_sharpen_rescued	Eventbrite_link	technology.internet.url	representation.text.plain_text	technology.internet.url	0296316f6c84
a_sharpen_rescued	averageDailyVolume10Day	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	02fa8a4efe43
b_sharpen_broke	ipni_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	unknown	02fc85ad7e2f
a_sharpen_rescued	totalOperatingExpenses	representation.numeric.integer_number	identity.medical.npi	representation.numeric.integer_number	033afa68ea12
d_both_right	Description	representation.text.plain_text	representation.text.plain_text	representation.text.plain_text	03b2802bb6a2
d_both_right	fiftyTwoWeekLowChange	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	03bff6e59fa6
c_both_wrong	filename	representation.text.plain_text	representation.text.entity_name	representation.text.entity_name	03c72dc72d18
d_both_right	Year	datetime.component.year	datetime.component.year	datetime.component.year	03e4e78414cb
c_both_wrong	PA	representation.text.plain_text	geography.location.region	geography.location.country_code	04076fd58a62
d_both_right	Year	datetime.component.year	datetime.component.year	datetime.component.year	040d144aae93
d_both_right	extraction_date	datetime.date.iso	datetime.date.iso	datetime.date.iso	041f8fab7fcd
b_sharpen_broke	Grade	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.discrete.ordinal	04de8d21dbd4
d_both_right	date_scraped	datetime.date.iso	datetime.date.iso	datetime.date.iso	051da2647891
d_both_right	publishedAtString	datetime.date.iso	datetime.date.iso	datetime.date.iso	05337e75a13b
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	063caa53b5db
d_both_right	Parent	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	0643cb66b2b9
d_both_right	earningsTimestampStart	datetime.epoch.unix_seconds	datetime.epoch.unix_seconds	datetime.epoch.unix_seconds	068341dbf53a
c_both_wrong	exchangeTimezoneShortName	representation.text.word	geography.location.country_code	geography.location.country_code	06ae441d30a0
a_sharpen_rescued	GAME_ID	representation.numeric.integer_number	representation.identifier.numeric_code	representation.numeric.integer_number	06e712cf1a34
c_both_wrong	group_id:id	representation.identifier.alphanumeric_id	identity.person.username	representation.text.word	07b52133f884
d_both_right	type_tax_use	representation.text.word	representation.text.word	representation.text.word	07d60392033f
d_both_right	Fan-Out	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	082e15af0fc7
d_both_right	host_thumbnail_url	technology.internet.url	technology.internet.url	technology.internet.url	08bf7e4a46fc
a_sharpen_rescued	RealTime(ms)	representation.numeric.decimal_number	geography.coordinate.longitude	representation.numeric.decimal_number	090636308c0d
d_both_right	Latitude	geography.coordinate.latitude	geography.coordinate.latitude	geography.coordinate.latitude	0a054b82ba87
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	0a054b82ba87
a_sharpen_rescued	Lng	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	0a22821b67f5
d_both_right	1001	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	0a7764733500
d_both_right	Region	geography.location.continent	geography.location.continent	geography.location.continent	0aef168cf9e2
d_both_right	earningsTimestamp	datetime.epoch.unix_seconds	datetime.epoch.unix_seconds	datetime.epoch.unix_seconds	0ba20b4fdf1c
c_both_wrong	template_name	representation.identifier.alphanumeric_id	geography.index.h3	unknown	0bc1b2a261bb
d_both_right	countryCode	geography.location.country_code	geography.location.country_code	geography.location.country_code	0c01eda7366d
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	0c41d3c433d4
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	0c669fe7b5ed
a_sharpen_rescued	averageDailyVolume10Day	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	0c69a4ef9073
c_both_wrong	TLD	technology.internet.top_level_domain	technology.internet.hostname	technology.internet.hostname	0c9a82293837
d_both_right	Activity	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	0d336bef172f
d_both_right	year	datetime.component.year	datetime.component.year	datetime.component.year	0d9afc2010e9
a_sharpen_rescued	Country Code	geography.location.country_code	geography.transportation.iata_code	geography.location.country_code	0dead6b6b687
a_sharpen_rescued	vx	representation.numeric.decimal_number	geography.coordinate.longitude	representation.numeric.decimal_number	0f8cff660053
d_both_right	exchangeTimezoneName	datetime.offset.iana	datetime.offset.iana	datetime.offset.iana	10163c07cc6f
d_both_right	Story	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	10366ee1045e
a_sharpen_rescued	incomeTaxExpense	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	10967fc639f9
d_both_right	city	geography.location.city	geography.location.city	geography.location.city	10cfbff8f83c
d_both_right	Story	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	115d1af415d1
d_both_right	Year	datetime.component.year	datetime.component.year	datetime.component.year	116f0080e401
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	119034f59941
a_sharpen_rescued	msg_id	representation.identifier.alphanumeric_id	identity.commerce.isbn	representation.identifier.alphanumeric_id	11fee01e8a2b
c_both_wrong	PROVINCE	geography.location.region	representation.text.entity_name	geography.location.state	12fcfce06b22
c_both_wrong	name	representation.text.plain_text	representation.text.entity_name	representation.text.entity_name	135d4e91476b
a_sharpen_rescued	participatory_space/url	technology.internet.url	representation.text.plain_text	technology.internet.url	13697c91aa74
d_both_right	id	technology.internet.url	technology.internet.url	technology.internet.url	13f1624f8d56
a_sharpen_rescued	52 Week High 3	representation.numeric.decimal_number	geography.coordinate.latitude	representation.numeric.decimal_number	1468d86d714a
a_sharpen_rescued	BenchmarkName	representation.identifier.alphanumeric_id	technology.cryptographic.hash	representation.identifier.alphanumeric_id	14740791fded
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	14d9f1620452
c_both_wrong	zip	representation.numeric.integer_number	datetime.component.year	geography.address.postal_code	14d9f1620452
d_both_right	country_id:id	geography.location.country_code	geography.location.country_code	geography.location.country_code	163620cd34c7
a_sharpen_rescued	longTermInvestments	representation.numeric.integer_number	finance.banking.aba_routing	representation.numeric.integer_number	165918def05d
d_both_right	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	168d4b90975a
c_both_wrong	__index_level_12__	representation.numeric.integer_number	datetime.component.year	datetime.component.year	16bc8e787f86
a_sharpen_rescued	totalOtherIncomeExpenseNet	representation.numeric.integer_number	representation.numeric.decimal_number	representation.numeric.integer_number	173e05f1cc62
a_sharpen_rescued	averageDailyVolume10Day	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	17d6ae8605ba
a_sharpen_rescued	Link	technology.internet.url	representation.text.plain_text	technology.internet.url	1832771d2470
c_both_wrong	template_name	representation.identifier.alphanumeric_id	geography.index.h3	unknown	18b342a8be8d
a_sharpen_rescued	Lat	geography.coordinate.latitude	representation.numeric.decimal_number	geography.coordinate.latitude	18ff4dddb3b1
a_sharpen_rescued	Lon	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	18ff4dddb3b1
d_both_right	Time_stamp	datetime.timestamp.sql_standard	datetime.timestamp.sql_standard	datetime.timestamp.sql_standard	193f85500d79
d_both_right	countryCode	geography.location.country_code	geography.location.country_code	geography.location.country_code	1aa886137d41
a_sharpen_rescued	lon	geography.coordinate.longitude	geography.coordinate.latitude	geography.coordinate.longitude	1aa886137d41
d_both_right	author_date_unix_timestamp	datetime.epoch.unix_seconds	datetime.epoch.unix_seconds	datetime.epoch.unix_seconds	1aba677beb06
d_both_right	7-1_person-or-small-group-talking_proximity	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	1ad1e33ad784
b_sharpen_broke	utc_offset	representation.numeric.decimal_number	representation.numeric.decimal_number	datetime.offset.utc	1b9ad1b9d168
d_both_right	indexfungorum_id	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	1ca4cce58f4f
a_sharpen_rescued	Latitude	geography.coordinate.latitude	representation.numeric.decimal_number	geography.coordinate.latitude	1da8a8118f98
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	1da8a8118f98
d_both_right	year	datetime.component.year	datetime.component.year	datetime.component.year	1dfe3f9485b2
d_both_right	authored on	datetime.date.iso	datetime.date.iso	datetime.date.iso	1e271c8209bf
d_both_right	name	representation.text.plain_text	representation.text.plain_text	representation.text.plain_text	1e7885cf6326
d_both_right	Comments	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	1efbd24307d6
d_both_right	rate_multiplier	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	1f24fec97f39
d_both_right	rate_rx	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	1f24fec97f39
d_both_right	rate_tx	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	1f24fec97f39
a_sharpen_rescued	SET_TIME_ZONE	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	1f666d7cba2c
a_sharpen_rescued	Provider State	geography.location.state_code	geography.location.region	geography.location.state_code	209aedb83b05
d_both_right	Year	datetime.component.year	datetime.component.year	datetime.component.year	20b8884e19e4
c_both_wrong	Title	representation.text.plain_text	representation.text.entity_name	representation.text.entity_name	20c46a9f1621
a_sharpen_rescued	deferredLongTermAssetCharges	representation.numeric.integer_number	finance.banking.aba_routing	representation.numeric.integer_number	212567b961ca
d_both_right	country	geography.location.country_code	geography.location.country_code	geography.location.country_code	216f6a46b2a2
c_both_wrong	parent_id	technology.internet.url	representation.text.plain_text	representation.text.plain_text	21f622c60d1d
d_both_right	DateTime	datetime.date.iso	datetime.date.iso	datetime.date.iso	220d8b3828d0
d_both_right	DeviceTranslatedAddress	geography.address.full_address	geography.address.full_address	geography.address.full_address	231b1f7d4d8f
d_both_right	vx	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	23488ec5e35b
c_both_wrong	longTermDebt	representation.numeric.integer_number	identity.medical.ndc	identity.medical.ndc	2348d07fbcfe
c_both_wrong	town_map_darkelf_t00	representation.text.plain_text	representation.text.entity_name	representation.text.entity_name	234d6bd77b56
c_both_wrong	BenchmarkName	representation.identifier.alphanumeric_id	identity.commerce.isbn	unknown	238eb6712e10
d_both_right	Comments	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	2404a5e275c1
d_both_right	moa	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	249400d98a75
d_both_right	Total	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	24957209bd4e
c_both_wrong	phkey	representation.numeric.integer_number	identity.government.ssn	identity.government.ssn	24b6b4d35680
a_sharpen_rescued	Link	technology.internet.url	representation.text.plain_text	technology.internet.url	250d487bbbd2
a_sharpen_rescued	fiftyTwoWeekLowChangePercent	representation.numeric.decimal_number	geography.coordinate.latitude	representation.numeric.decimal_number	252623ce54d7
c_both_wrong	URL rewritten	representation.text.plain_text	representation.text.word	technology.internet.url	252abf231830
d_both_right	transition_10_upper_ci	datetime.date.iso	datetime.date.iso	datetime.date.iso	2545e05190d6
d_both_right	country_name_filter	geography.location.country	geography.location.country	geography.location.country	25b3cfc1fdf8
d_both_right	Story	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	26890e9e31e6
d_both_right	Primary ISBN10	identity.commerce.isbn	identity.commerce.isbn	identity.commerce.isbn	26ca0d1e8c6b
b_sharpen_broke	epoch_number	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.text.word	27b007dad62c
c_both_wrong	tld	technology.internet.top_level_domain	technology.internet.hostname	technology.internet.hostname	2857d0a449b5
d_both_right	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	2891bb6de64b
a_sharpen_rescued	regularMarketVolume	representation.numeric.integer_number	representation.identifier.numeric_code	representation.numeric.integer_number	28a10bcb0213
d_both_right	DropOffCity	geography.location.city	geography.location.city	geography.location.city	28cefac178e8
a_sharpen_rescued	Latitude	geography.coordinate.latitude	representation.numeric.decimal_number	geography.coordinate.latitude	28cfb7b5cd43
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	28cfb7b5cd43
a_sharpen_rescued	Points	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	28f4bab1dc6f
d_both_right	CanBeCloned	representation.boolean.terms	representation.boolean.terms	representation.boolean.terms	28feec8f4d74
c_both_wrong	changeToNetincome	representation.numeric.integer_number	finance.banking.aba_routing	finance.banking.aba_routing	29785d149b9b
a_sharpen_rescued	label	representation.text.word	representation.boolean.initials	representation.text.word	298cdaadb512
c_both_wrong	TEAM_ABBREVIATION	technology.internet.top_level_domain	geography.transportation.iata_code	geography.transportation.iata_code	29a02c827c52
d_both_right	longName	representation.text.entity_name	representation.text.entity_name	representation.text.entity_name	29b8fe61cdfd
d_both_right	host_thumbnail_url	technology.internet.url	technology.internet.url	technology.internet.url	29e0d2dec209
d_both_right	Latitude	geography.coordinate.latitude	geography.coordinate.latitude	geography.coordinate.latitude	2a85eed7b3d2
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	2a85eed7b3d2
a_sharpen_rescued	operatingIncome	representation.numeric.integer_number	representation.numeric.decimal_number	representation.numeric.integer_number	2ab20020b007
d_both_right	publishedAtString	datetime.date.iso	datetime.date.iso	datetime.date.iso	2b0fee2de1db
a_sharpen_rescued	averageDailyVolume3Month	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	2b571f0e8ab4
a_sharpen_rescued	averageDailyVolume3Month	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	2c2462f01e01
c_both_wrong	EstadoDoc	representation.text.plain_text	geography.location.country_code	geography.location.country_code	2cc5844dcb71
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	2cca6dfba0c7
d_both_right	Latitude	geography.coordinate.latitude	geography.coordinate.latitude	geography.coordinate.latitude	2cfd2180b6f1
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	2cfd2180b6f1
a_sharpen_rescued	Count_read	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	2d4e0b00aa13
a_sharpen_rescued	msg_id	representation.identifier.alphanumeric_id	identity.commerce.isbn	representation.identifier.alphanumeric_id	2d4e0b00aa13
d_both_right	Primary ISBN13	identity.commerce.isbn	identity.commerce.isbn	identity.commerce.isbn	2de169b092ed
c_both_wrong	finc_class_facet	representation.text.word	representation.text.entity_name	representation.discrete.ordinal	2e247329adcc
d_both_right	city	geography.location.city	geography.location.city	geography.location.city	2e24e162e0e5
b_sharpen_broke	utc_offset	representation.numeric.decimal_number	representation.numeric.decimal_number	datetime.offset.utc	2e8097c169f8
d_both_right	Parent	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	2f1171bc3ca6
a_sharpen_rescued	business_zip	geography.address.postal_code	representation.identifier.increment	geography.address.postal_code	2fd78946e50b
d_both_right	certificate_number	representation.identifier.numeric_code	representation.identifier.numeric_code	representation.identifier.numeric_code	2fd78946e50b
d_both_right	city	geography.location.city	geography.location.city	geography.location.city	2fd78946e50b
c_both_wrong	data_as_of	datetime.timestamp.iso_8601_milliseconds	datetime.timestamp.iso_8601_millis_offset	datetime.timestamp.iso_milliseconds	2fd78946e50b
c_both_wrong	dba_start_date	datetime.timestamp.sql_standard	datetime.timestamp.iso_8601_millis_offset	datetime.timestamp.iso_milliseconds	2fd78946e50b
c_both_wrong	location_start_date	datetime.timestamp.sql_standard	datetime.timestamp.iso_8601_millis_offset	datetime.timestamp.iso_milliseconds	2fd78946e50b
d_both_right	naic_code	representation.identifier.numeric_code	representation.identifier.numeric_code	representation.identifier.numeric_code	2fd78946e50b
c_both_wrong	naic_code_description	representation.text.word	representation.text.plain_text	representation.text.plain_text	2fd78946e50b
c_both_wrong	neighborhoods_analysis_boundaries	representation.text.plain_text	geography.location.city	geography.location.city	2fd78946e50b
b_sharpen_broke	state	geography.location.state_code	geography.location.state_code	geography.location.state	2fd78946e50b
d_both_right	supervisor_district	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	2fd78946e50b
c_both_wrong	ttxid	representation.identifier.alphanumeric_id	identity.academic.orcid	identity.academic.orcid	2fd78946e50b
a_sharpen_rescued	otherOperatingExpenses	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	30d3ae236b95
d_both_right	COG_PER_RATIO	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	30e251b8b87f
d_both_right	DEPTH	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	30e251b8b87f
a_sharpen_rescued	DISTINCTIVENESS_KL	representation.numeric.decimal_number	geography.coordinate.latitude	representation.numeric.decimal_number	30e251b8b87f
c_both_wrong	BenchmarkName	representation.identifier.alphanumeric_id	identity.commerce.isbn	unknown	320e364ff577
a_sharpen_rescued	longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	3264dc78bed1
d_both_right	id	representation.identifier.uuid	representation.identifier.uuid	representation.identifier.uuid	32d37ff8e694
d_both_right	appleMobility	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	33a06317612b
c_both_wrong	name	representation.text.plain_text	identity.person.username	representation.text.word	33aad91719fe
d_both_right	ISBN10	identity.commerce.isbn	identity.commerce.isbn	identity.commerce.isbn	33b31bcf1881
d_both_right	ISBN13	identity.commerce.isbn	identity.commerce.isbn	identity.commerce.isbn	33b31bcf1881
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	33e27a9b82e3
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	34a03e50c229
c_both_wrong	name	representation.identifier.alphanumeric_id	geography.location.region	geography.location.region	34fe8e167815
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	354b9d7b7035
a_sharpen_rescued	doi_url	technology.internet.url	representation.text.plain_text	technology.internet.url	355d4f1fa8a8
c_both_wrong	Created	datetime.epoch.unix_seconds	representation.numeric.decimal_number	representation.numeric.decimal_number	358c28c54a04
c_both_wrong	Platystomas sellatus	representation.numeric.integer_number	representation.boolean.binary	representation.boolean.binary	364f90339104
d_both_right	sampling_year	datetime.component.year	datetime.component.year	datetime.component.year	36727c241f00
d_both_right	project_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	37056ee953f3
a_sharpen_rescued	PFIZER_DEPOSITS	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	370ce7106d86
a_sharpen_rescued	perm_unlink	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	378946128750
c_both_wrong	ObjectName	representation.text.plain_text	identity.person.first_name	representation.text.word	37d06b69166f
d_both_right	gmtOffSetMilliseconds	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	389055fb2cd0
c_both_wrong	name	representation.text.plain_text	identity.person.username	representation.text.word	3890bd6cf4bd
a_sharpen_rescued	uri_Distinct	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	389eaadf7883
d_both_right	dateId	datetime.date.iso	datetime.date.iso	datetime.date.iso	38db4a722d70
d_both_right	134.11	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	39f0b776c956
c_both_wrong	__index_level_32__	representation.numeric.integer_number	representation.identifier.numeric_code	datetime.component.year	3a486b37ca68
d_both_right	region	geography.location.region	geography.location.region	geography.location.region	3a51a9904af2
d_both_right	country_code	geography.location.country_code	geography.location.country_code	geography.location.country_code	3adafaf76c02
d_both_right	Latitude	geography.coordinate.latitude	geography.coordinate.latitude	geography.coordinate.latitude	3b453ba62475
a_sharpen_rescued	Longitude	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	3b453ba62475
