family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	41	39	3	2	0.929	0.951	0.81-0.98	0.84-0.99
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	52	52	0	0	1.000	1.000	0.93-1.00	0.93-1.00
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	4	1	0	3	1.000	0.250	0.21-1.00	0.05-0.70
(global)	datetime.epoch.unix_seconds	15	8	0	7	1.000	0.533	0.68-1.00	0.30-0.75
(global)	datetime.offset.iana	3	3	0	0	1.000	1.000	0.44-1.00	0.44-1.00
(global)	datetime.offset.timezone_abbreviation	6	6	0	0	1.000	1.000	0.61-1.00	0.61-1.00
(global)	datetime.offset.utc	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.iso_8601_milliseconds	4	3	0	1	1.000	0.750	0.44-1.00	0.30-0.95
(global)	datetime.timestamp.sql_standard	14	9	0	5	1.000	0.643	0.70-1.00	0.39-0.84
(global)	finance.currency.amount	5	0	0	5	nan	0.000	n/a	0.00-0.43
(global)	geography.address.postal_code	4	3	1	1	0.750	0.750	0.30-0.95	0.30-0.95
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	24	24	4	0	0.857	1.000	0.69-0.94	0.86-1.00
(global)	geography.location.continent	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.location.country	11	9	0	2	1.000	0.818	0.70-1.00	0.52-0.95
(global)	geography.location.country_code	54	52	1	2	0.981	0.963	0.90-1.00	0.87-0.99
(global)	geography.location.region	15	9	4	6	0.692	0.600	0.42-0.87	0.36-0.80
(global)	geography.location.state_code	7	6	2	1	0.750	0.857	0.41-0.93	0.49-0.97
(global)	geography.transportation.iata_code	2	2	3	0	0.400	1.000	0.12-0.77	0.34-1.00
(global)	geography.transportation.icao_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.commerce.isbn	18	15	0	3	1.000	0.833	0.80-1.00	0.61-0.94
(global)	identity.person.full_name	1	1	1	0	0.500	1.000	0.09-0.91	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.person.username	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	representation.boolean.terms	10	10	1	0	0.909	1.000	0.62-0.98	0.72-1.00
(global)	representation.file.extension	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	representation.identifier.alphanumeric_id	62	41	2	21	0.953	0.661	0.85-0.99	0.54-0.77
(global)	representation.identifier.increment	1	1	8	0	0.111	1.000	0.02-0.44	0.21-1.00
(global)	representation.identifier.numeric_code	3	3	0	0	1.000	1.000	0.44-1.00	0.44-1.00
(global)	representation.identifier.uuid	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	representation.numeric.decimal_number	94	86	8	8	0.915	0.915	0.84-0.96	0.84-0.96
(global)	representation.numeric.integer_number	194	164	1	30	0.994	0.845	0.97-1.00	0.79-0.89
(global)	representation.text.entity_name	8	6	25	2	0.194	0.750	0.09-0.36	0.41-0.93
(global)	representation.text.plain_text	42	8	8	34	0.500	0.190	0.28-0.72	0.10-0.33
(global)	representation.text.word	82	57	12	25	0.826	0.695	0.72-0.90	0.59-0.78
(global)	technology.internet.hostname	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.top_level_domain	6	2	1	4	0.667	0.333	0.21-0.94	0.10-0.70
(global)	technology.internet.url	44	40	1	4	0.976	0.909	0.87-1.00	0.79-0.96
