family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	container.object.csv	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	datetime.component.year	40	40	3	0	0.930	1.000	0.81-0.98	0.91-1.00
(global)	datetime.date.dmy_slash	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.date.iso	67	52	0	15	1.000	0.776	0.93-1.00	0.66-0.86
(global)	datetime.date.mdy_slash	4	4	0	0	1.000	1.000	0.51-1.00	0.51-1.00
(global)	datetime.epoch.unix_milliseconds	2	2	2	0	0.500	1.000	0.15-0.85	0.34-1.00
(global)	datetime.epoch.unix_seconds	12	10	3	2	0.769	0.833	0.50-0.92	0.55-0.95
(global)	datetime.offset.iana	3	3	1	0	0.750	1.000	0.30-0.95	0.44-1.00
(global)	datetime.offset.utc	1	1	4	0	0.200	1.000	0.04-0.62	0.21-1.00
(global)	datetime.timestamp.dmy_hm	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	datetime.timestamp.iso_8601_milliseconds	1	1	2	0	0.333	1.000	0.06-0.79	0.21-1.00
(global)	datetime.timestamp.sql_standard	2	2	6	0	0.250	1.000	0.07-0.59	0.34-1.00
(global)	finance.currency.amount	5	2	17	3	0.105	0.400	0.03-0.31	0.12-0.77
(global)	geography.address.full_address	4	4	3	0	0.571	1.000	0.25-0.84	0.51-1.00
(global)	geography.address.postal_code	4	4	2	0	0.667	1.000	0.30-0.90	0.51-1.00
(global)	geography.coordinate.latitude	39	39	1	0	0.975	1.000	0.87-1.00	0.91-1.00
(global)	geography.coordinate.longitude	45	44	0	1	1.000	0.978	0.92-1.00	0.88-1.00
(global)	geography.location.city	24	24	14	0	0.632	1.000	0.47-0.77	0.86-1.00
(global)	geography.location.continent	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	geography.location.country	10	9	2	1	0.818	0.900	0.52-0.95	0.60-0.98
(global)	geography.location.country_code	57	47	2	10	0.959	0.825	0.86-0.99	0.71-0.90
(global)	geography.location.region	15	7	11	8	0.389	0.467	0.20-0.61	0.25-0.70
(global)	geography.location.state_code	7	6	1	1	0.857	0.857	0.49-0.97	0.49-0.97
(global)	geography.transportation.iata_code	2	2	6	0	0.250	1.000	0.07-0.59	0.34-1.00
(global)	geography.transportation.icao_code	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	identity.commerce.isbn	18	15	7	3	0.682	0.833	0.47-0.84	0.61-0.94
(global)	identity.person.full_name	1	1	5	0	0.167	1.000	0.03-0.56	0.21-1.00
(global)	identity.person.gender	1	1	0	0	1.000	1.000	0.21-1.00	0.21-1.00
(global)	representation.boolean.terms	10	8	0	2	1.000	0.800	0.68-1.00	0.49-0.94
(global)	representation.discrete.categorical	101	47	7	54	0.870	0.465	0.76-0.94	0.37-0.56
(global)	representation.identifier.alphanumeric_id	54	32	6	22	0.842	0.593	0.70-0.93	0.46-0.71
(global)	representation.identifier.increment	1	1	17	0	0.056	1.000	0.01-0.26	0.21-1.00
(global)	representation.identifier.numeric_code	3	2	1	1	0.667	0.667	0.21-0.94	0.21-0.94
(global)	representation.identifier.uuid	1	1	1	0	0.500	1.000	0.09-0.91	0.21-1.00
(global)	representation.numeric.decimal_number	97	83	3	14	0.965	0.856	0.90-0.99	0.77-0.91
(global)	representation.numeric.integer_number	196	116	0	80	1.000	0.592	0.97-1.00	0.52-0.66
(global)	representation.text.entity_name	6	5	8	1	0.385	0.833	0.18-0.64	0.44-0.97
(global)	representation.text.plain_text	39	8	4	31	0.667	0.205	0.39-0.86	0.11-0.36
(global)	representation.text.word	2	0	6	2	0.000	0.000	0.00-0.39	0.00-0.66
(global)	technology.internet.hostname	2	2	0	0	1.000	1.000	0.34-1.00	0.34-1.00
(global)	technology.internet.top_level_domain	6	2	0	4	1.000	0.333	0.34-1.00	0.10-0.70
(global)	technology.internet.url	44	44	17	0	0.721	1.000	0.60-0.82	0.92-1.00
