pattern	target_ydf	observed_ydf	n_columns	is_target
mgrs	geography.coordinate.mgrs	representation.identifier.alphanumeric_id	4	false
country_code_alpha2	geography.location.country_code	geography.location.region	3945	false
country_code_alpha2	geography.location.country_code	representation.discrete.categorical	2662	false
country_code_alpha2	geography.location.country_code	geography.location.country_code	839	true
country_code_alpha2	geography.location.country_code	geography.location.continent	199	false
country_code_alpha2	geography.location.country_code	representation.text.entity_name	4	false
country_code_alpha2	geography.location.country_code	geography.location.country	2	false
country_code_alpha2	geography.location.country_code	representation.identifier.alphanumeric_id	1	false
iata	geography.transportation.iata_code	representation.discrete.categorical	26658	false
iata	geography.transportation.iata_code	geography.location.country_code	1442	false
iata	geography.transportation.iata_code	finance.currency.currency_code	398	false
iata	geography.transportation.iata_code	representation.identifier.alphanumeric_id	38	false
iata	geography.transportation.iata_code	geography.transportation.iata_code	25	true
iata	geography.transportation.iata_code	representation.text.plain_text	5	false
iata	geography.transportation.iata_code	geography.location.country	4	false
iata	geography.transportation.iata_code	representation.text.entity_name	1	false
icao	geography.transportation.icao_code	representation.discrete.categorical	1720	false
icao	geography.transportation.icao_code	representation.identifier.alphanumeric_id	111	false
icao	geography.transportation.icao_code	representation.text.plain_text	10	false
icao	geography.transportation.icao_code	representation.text.entity_name	8	false
icao	geography.transportation.icao_code	geography.transportation.icao_code	1	true
