ydf_label,distinct_values,value_rows,distinct_columns
representation.numeric.integer_number,231315,963975,149654
representation.identifier.uuid,95860,138624,28444
geography.address.postal_code,86687,336585,81594
datetime.timestamp.sql_standard,67466,158227,22526
identity.commerce.upc,61348,68173,9475
representation.numeric.decimal_number,29280,149244,30484
datetime.date.compact_ym,19987,77135,27623
container.array.whitespace_separated,13445,34457,14674
representation.numeric.si_number,9849,50792,14455
geography.coordinate.longitude,9825,18379,6051
identity.person.username,9516,130596,70271
finance.banking.aba_routing,8634,26463,7501
datetime.timestamp.iso_8601,8600,32924,4490
geography.address.full_address,7754,29608,6660
technology.internet.url,7596,27761,20589
identity.commerce.ean,6638,36469,12559
technology.cryptographic.hash,6586,47243,6106
identity.commerce.isbn,5877,22623,5451
datetime.timestamp.iso_8601_milliseconds,5757,47121,6168
identity.person.full_name,5455,28549,13713
datetime.date.iso,5241,124542,17132
identity.medical.loinc,5031,6246,3511
datetime.timestamp.mdy_24h,4991,6072,776
identity.person.email,4954,30091,5662
finance.securities.cusip,4666,12437,5876
geography.coordinate.geohash,4548,33607,16302
representation.numeric.percentage,4528,48212,10438
technology.code.doi,4357,13201,2266
technology.identifier.tsid,4329,35695,4932
technology.cryptographic.token_urlsafe,3765,4708,1342
representation.text.entity_name,3633,18129,12211
finance.currency.amount_nodecimal,3072,3678,821
geography.transportation.icao_code,2951,35487,13449
finance.rate.yield,2792,12202,2727
representation.numeric.decimal_number_comma,2659,10438,2442
geography.coordinate.latitude,2488,4081,2040
datetime.time.hm_24h,2463,96641,18234
geography.transportation.unlocode,2462,28255,13507
identity.person.phone_number,2196,8183,2132
geography.address.street_name,2103,21443,15016
datetime.timestamp.iso_8601_offset,1707,2895,406
finance.banking.swift_bic,1463,15617,9610
datetime.date.abbreviated_month,1328,20008,4917
datetime.date.long_full_month,1226,8568,1148
technology.internet.hostname,1211,36481,6078
datetime.time.hms_24h,1202,3073,516
geography.format.wkt,1082,3224,533
identity.commerce.issn,805,5347,1222
datetime.timestamp.sql_microseconds,764,2292,316
representation.identifier.alphanumeric_id,737,6360,994
datetime.date.dmy_space_abbrev,615,1073,808
datetime.date.ymd_slash,590,6949,1036
identity.commerce.isrc,581,881,144
datetime.timestamp.sql_milliseconds,577,1078,208
finance.currency.amount_accounting,552,1154,759
representation.file.extension,543,36030,13863
identity.medical.hcpcs,485,1541,536
technology.internet.ip_v4,484,2323,477
representation.file.mime_type,469,5033,1624
technology.development.version,385,10986,1557
representation.numeric.scientific_notation,304,1019,437
datetime.date.month_year_full,287,10109,1509
finance.crypto.ethereum_address,265,676,94
identity.medical.icd10,262,3616,708
container.array.semicolon_separated,249,781,494
geography.transportation.hs_code,244,648,290
representation.scientific.dna_sequence,236,873,207
datetime.date.dmy_dash_abbrev_short,226,788,125
finance.securities.sedol,224,1408,361
datetime.date.year_month,221,2375,376
geography.location.state_code,204,33531,10310
datetime.timestamp.rfc_3339,202,423,62
datetime.timestamp.dmy_hm,198,607,125
datetime.timestamp.slash_ymd_24h,186,1685,221
technology.development.calver,180,525,300
identity.government.eu_vat,174,491,129
representation.scientific.protein_sequence,162,506,197
datetime.time.hm_12h,148,4297,3194
datetime.date.dmy_dot,148,782,122
datetime.timestamp.iso_8601_millis_offset,135,272,57
datetime.timestamp.iso_microseconds,124,501,82
datetime.date.dmy_slash,123,470,194
datetime.timestamp.iso_8601_microseconds,120,167,25
datetime.date.julian,114,290,64
datetime.timestamp.sql_microseconds_offset,112,175,38
representation.format.color_hex,111,242,157
datetime.date.dmy_short_dot,106,202,30
technology.internet.top_level_domain,105,383,199
