warning: finetype-cli@0.5.3: Using models from workspace: /home/hugh/github/noon-org/finetype/models
warning: finetype-cli@0.5.3: Embedding Model2Vec from /home/hugh/github/noon-org/finetype/models/model2vec
warning: finetype-cli@0.5.3: Embedding entity classifier from /home/hugh/github/noon-org/finetype/models/entity-classifier
warning: finetype-cli@0.5.3: Embedding Sense classifier from /home/hugh/github/noon-org/finetype/models/sense
    Finished `release` profile [optimized] target(s) in 0.43s
     Running `target/release/finetype train --data training.ndjson --taxonomy labels --output models/char-cnn-v12 --epochs 10 --seed 42 --model-type char-cnn`
Loading taxonomy from "labels"
Loaded 216 label definitions
Loading training data from "training.ndjson"
Loaded 212000 training samples
Snapshot: backing up "models/char-cnn-v12" -> "models/char-cnn-v12.snapshot.20260305T045033Z"
Snapshot complete: "models/char-cnn-v12.snapshot.20260305T045033Z"
Training CharCNN model
Training config: CharTrainingConfig { batch_size: 32, epochs: 10, learning_rate: 0.001, max_seq_length: 128, embed_dim: 32, num_filters: 64, hidden_dim: 128, weight_decay: 0.0001, shuffle: true, seed: Some(42) }
Starting CharCNN training with 212000 samples
Device: Cpu
Number of classes: 216
Using deterministic seed: 42
Shuffled training data
Initializing CharCNN model...
Model initialized (vocab_size=97, embed_dim=32, filters=64)
Training: 6625 batches per epoch
Starting epoch 1/10

  Batch 10/6625, loss=6.8655        
  Batch 20/6625, loss=5.7224        
  Batch 30/6625, loss=5.4513        
  Batch 40/6625, loss=5.3447        
  Batch 50/6625, loss=5.3136        
  Batch 60/6625, loss=5.2888        
  Batch 70/6625, loss=5.2804        
  Batch 80/6625, loss=5.3693        
  Batch 90/6625, loss=5.1059        
  Batch 100/6625, loss=5.4166        
  Batch 110/6625, loss=5.2264        
  Batch 120/6625, loss=5.1420        
  Batch 130/6625, loss=5.0981        
  Batch 140/6625, loss=5.0974        
  Batch 150/6625, loss=4.9406        
  Batch 160/6625, loss=5.0444        
  Batch 170/6625, loss=4.8921        
  Batch 180/6625, loss=4.9256        
  Batch 190/6625, loss=5.1745        
  Batch 200/6625, loss=4.9228        
  Batch 210/6625, loss=4.5144        
  Batch 220/6625, loss=4.9027        
  Batch 230/6625, loss=4.7642        
  Batch 240/6625, loss=4.7106        
  Batch 250/6625, loss=4.7801        
  Batch 260/6625, loss=4.9660        
  Batch 270/6625, loss=4.5947        
  Batch 280/6625, loss=4.2224        
  Batch 290/6625, loss=4.3469        
  Batch 300/6625, loss=4.4270        
  Batch 310/6625, loss=4.2180        
  Batch 320/6625, loss=4.0302        
  Batch 330/6625, loss=4.1871        
  Batch 340/6625, loss=4.3667        
  Batch 350/6625, loss=4.1492        
  Batch 360/6625, loss=4.1058        
  Batch 370/6625, loss=3.7218        
  Batch 380/6625, loss=4.0539        
  Batch 390/6625, loss=3.4702        
  Batch 400/6625, loss=3.8460        
  Batch 410/6625, loss=3.9062        
  Batch 420/6625, loss=3.3356        
  Batch 430/6625, loss=3.4661        
  Batch 440/6625, loss=3.7251        
  Batch 450/6625, loss=3.5857        
  Batch 460/6625, loss=3.2574        
  Batch 470/6625, loss=3.4158        
  Batch 480/6625, loss=3.6402        
  Batch 490/6625, loss=3.0247        
  Batch 500/6625, loss=3.3605        
  Batch 510/6625, loss=2.9580        
  Batch 520/6625, loss=3.1664        
  Batch 530/6625, loss=2.7365        
  Batch 540/6625, loss=2.9939        
  Batch 550/6625, loss=2.8080        
  Batch 560/6625, loss=2.8945        
  Batch 570/6625, loss=2.7197        
  Batch 580/6625, loss=3.1762        
  Batch 590/6625, loss=2.6697        
  Batch 600/6625, loss=2.5418        
  Batch 610/6625, loss=2.9318        
  Batch 620/6625, loss=2.8856        
  Batch 630/6625, loss=2.8804        
  Batch 640/6625, loss=2.8318        
  Batch 650/6625, loss=2.2309        
  Batch 660/6625, loss=2.8454        
  Batch 670/6625, loss=3.0753        
  Batch 680/6625, loss=2.3619        
  Batch 690/6625, loss=2.2490        
  Batch 700/6625, loss=2.4194        
  Batch 710/6625, loss=2.3765        
  Batch 720/6625, loss=2.2994        
  Batch 730/6625, loss=2.3846        
  Batch 740/6625, loss=1.9511        
  Batch 750/6625, loss=2.4296        
  Batch 760/6625, loss=2.4467        
  Batch 770/6625, loss=2.3685        
  Batch 780/6625, loss=2.3437        
  Batch 790/6625, loss=2.0176        
  Batch 800/6625, loss=2.6827        
  Batch 810/6625, loss=2.2778        
  Batch 820/6625, loss=1.9512        
  Batch 830/6625, loss=2.1814        
  Batch 840/6625, loss=2.0563        
  Batch 850/6625, loss=2.3333        
  Batch 860/6625, loss=1.8283        
  Batch 870/6625, loss=1.9224        
  Batch 880/6625, loss=1.9073        
  Batch 890/6625, loss=1.9811        
  Batch 900/6625, loss=2.0426        
  Batch 910/6625, loss=1.6793        
  Batch 920/6625, loss=1.7547        
  Batch 930/6625, loss=1.4512        
  Batch 940/6625, loss=2.1146        
  Batch 950/6625, loss=1.5592        
  Batch 960/6625, loss=1.9364        
  Batch 970/6625, loss=1.9542        
  Batch 980/6625, loss=1.6055        
  Batch 990/6625, loss=1.9961        
  Batch 1000/6625, loss=1.7596        
  Batch 1010/6625, loss=1.8101        
  Batch 1020/6625, loss=1.9581        
  Batch 1030/6625, loss=1.7261        
  Batch 1040/6625, loss=1.7367        
  Batch 1050/6625, loss=1.6389        
  Batch 1060/6625, loss=2.0594        
  Batch 1070/6625, loss=2.0007        
  Batch 1080/6625, loss=1.7403        
  Batch 1090/6625, loss=1.5691        
  Batch 1100/6625, loss=2.0076        
  Batch 1110/6625, loss=1.4181        
  Batch 1120/6625, loss=1.9233        
  Batch 1130/6625, loss=1.5990        
  Batch 1140/6625, loss=1.2643        
  Batch 1150/6625, loss=1.6340        
  Batch 1160/6625, loss=1.7464        
  Batch 1170/6625, loss=1.5786        
  Batch 1180/6625, loss=1.4427        
  Batch 1190/6625, loss=1.7416        
  Batch 1200/6625, loss=1.6979        
  Batch 1210/6625, loss=2.0193        
  Batch 1220/6625, loss=1.9165        
  Batch 1230/6625, loss=1.8491        
  Batch 1240/6625, loss=1.6005        
  Batch 1250/6625, loss=1.8999        
  Batch 1260/6625, loss=1.3056        
  Batch 1270/6625, loss=1.7047        
  Batch 1280/6625, loss=1.3342        
  Batch 1290/6625, loss=1.3393        
  Batch 1300/6625, loss=1.4927        
  Batch 1310/6625, loss=1.5851        
  Batch 1320/6625, loss=1.4440        
  Batch 1330/6625, loss=1.2847        
  Batch 1340/6625, loss=1.2253        
  Batch 1350/6625, loss=1.4865        
  Batch 1360/6625, loss=1.6848        
  Batch 1370/6625, loss=1.3241        
  Batch 1380/6625, loss=1.4974        
  Batch 1390/6625, loss=1.4644        
  Batch 1400/6625, loss=1.6863        
  Batch 1410/6625, loss=1.2719        
  Batch 1420/6625, loss=1.1694        
  Batch 1430/6625, loss=1.4846        
  Batch 1440/6625, loss=1.4443        
  Batch 1450/6625, loss=1.2382        
  Batch 1460/6625, loss=1.6956        
  Batch 1470/6625, loss=1.4759        
  Batch 1480/6625, loss=1.5044        
  Batch 1490/6625, loss=1.2748        
  Batch 1500/6625, loss=1.2361        
  Batch 1510/6625, loss=1.5789        
  Batch 1520/6625, loss=1.0596        
  Batch 1530/6625, loss=1.4222        
  Batch 1540/6625, loss=1.8397        
  Batch 1550/6625, loss=1.7946        
  Batch 1560/6625, loss=1.1753        
  Batch 1570/6625, loss=1.3921        
  Batch 1580/6625, loss=1.2867        
  Batch 1590/6625, loss=1.0933        
  Batch 1600/6625, loss=1.4879        
  Batch 1610/6625, loss=1.3574        
  Batch 1620/6625, loss=1.0959        
  Batch 1630/6625, loss=1.2678        
  Batch 1640/6625, loss=1.1152        
  Batch 1650/6625, loss=1.3776        
  Batch 1660/6625, loss=0.8765        
  Batch 1670/6625, loss=1.4001        
  Batch 1680/6625, loss=0.9992        
  Batch 1690/6625, loss=1.0970        
  Batch 1700/6625, loss=1.4013        
  Batch 1710/6625, loss=1.2039        
  Batch 1720/6625, loss=1.1743        
  Batch 1730/6625, loss=1.1281        
  Batch 1740/6625, loss=1.1747        
  Batch 1750/6625, loss=1.6499        
  Batch 1760/6625, loss=0.9376        
  Batch 1770/6625, loss=1.1973        
  Batch 1780/6625, loss=0.9458        
  Batch 1790/6625, loss=1.2972        
  Batch 1800/6625, loss=1.2566        
  Batch 1810/6625, loss=0.9990        
  Batch 1820/6625, loss=1.0785        
  Batch 1830/6625, loss=0.9937        
  Batch 1840/6625, loss=1.3122        
  Batch 1850/6625, loss=0.9258        
  Batch 1860/6625, loss=0.9540        
  Batch 1870/6625, loss=0.8378        
  Batch 1880/6625, loss=0.9763        
  Batch 1890/6625, loss=1.0756        
  Batch 1900/6625, loss=1.2034        
  Batch 1910/6625, loss=1.0314        
  Batch 1920/6625, loss=1.0988        
  Batch 1930/6625, loss=1.4407        
  Batch 1940/6625, loss=1.2733        
  Batch 1950/6625, loss=1.2322        
  Batch 1960/6625, loss=1.3856        
  Batch 1970/6625, loss=1.0079        
  Batch 1980/6625, loss=1.0104        
  Batch 1990/6625, loss=1.4845        
  Batch 2000/6625, loss=1.3130        
  Batch 2010/6625, loss=1.0323        
  Batch 2020/6625, loss=1.3132        
  Batch 2030/6625, loss=1.0020        
  Batch 2040/6625, loss=1.1750        
  Batch 2050/6625, loss=1.1075        
  Batch 2060/6625, loss=0.8917        
  Batch 2070/6625, loss=1.1972        
  Batch 2080/6625, loss=1.1624        
  Batch 2090/6625, loss=0.8715        
  Batch 2100/6625, loss=0.7725        
  Batch 2110/6625, loss=1.0197        
  Batch 2120/6625, loss=1.3085        
  Batch 2130/6625, loss=1.2560        
  Batch 2140/6625, loss=1.2394        
  Batch 2150/6625, loss=1.2441        
  Batch 2160/6625, loss=1.4581        
  Batch 2170/6625, loss=1.4049        
  Batch 2180/6625, loss=1.2594        
  Batch 2190/6625, loss=1.0866        
  Batch 2200/6625, loss=0.8848        
  Batch 2210/6625, loss=1.1788        
  Batch 2220/6625, loss=1.0660        
  Batch 2230/6625, loss=1.1076        
  Batch 2240/6625, loss=0.7821        
  Batch 2250/6625, loss=1.0398        
  Batch 2260/6625, loss=1.2074        
  Batch 2270/6625, loss=0.9379        
  Batch 2280/6625, loss=1.1302        
  Batch 2290/6625, loss=0.7341        
  Batch 2300/6625, loss=1.0200        
  Batch 2310/6625, loss=1.1627        
  Batch 2320/6625, loss=0.6304        
  Batch 2330/6625, loss=0.9156        
  Batch 2340/6625, loss=1.2412        
  Batch 2350/6625, loss=0.7705        
  Batch 2360/6625, loss=1.2561        
  Batch 2370/6625, loss=1.2479        
  Batch 2380/6625, loss=1.0519        
  Batch 2390/6625, loss=0.5027        
  Batch 2400/6625, loss=1.2795        
  Batch 2410/6625, loss=0.7286        
  Batch 2420/6625, loss=1.2366        
  Batch 2430/6625, loss=0.8627        
  Batch 2440/6625, loss=0.8840        
  Batch 2450/6625, loss=1.0464        
  Batch 2460/6625, loss=0.9227        
  Batch 2470/6625, loss=1.4055        
  Batch 2480/6625, loss=0.9883        
  Batch 2490/6625, loss=0.9294        
  Batch 2500/6625, loss=0.4879        
  Batch 2510/6625, loss=1.1131        
  Batch 2520/6625, loss=0.8223        
  Batch 2530/6625, loss=1.0256        
  Batch 2540/6625, loss=0.5930        
  Batch 2550/6625, loss=0.7721        
  Batch 2560/6625, loss=1.2133        
  Batch 2570/6625, loss=1.5541        
  Batch 2580/6625, loss=1.1981        
  Batch 2590/6625, loss=0.7629        
  Batch 2600/6625, loss=1.1340        
  Batch 2610/6625, loss=1.0432        
  Batch 2620/6625, loss=1.0500        
  Batch 2630/6625, loss=1.2587        
  Batch 2640/6625, loss=0.8712        
  Batch 2650/6625, loss=0.9639        
  Batch 2660/6625, loss=0.8578        
  Batch 2670/6625, loss=1.0156        
  Batch 2680/6625, loss=0.9332        
  Batch 2690/6625, loss=1.1110        
  Batch 2700/6625, loss=0.5115        
  Batch 2710/6625, loss=1.0706        
  Batch 2720/6625, loss=0.7697        
  Batch 2730/6625, loss=0.9301        
  Batch 2740/6625, loss=0.8809        
  Batch 2750/6625, loss=0.7601        
  Batch 2760/6625, loss=1.0342        
  Batch 2770/6625, loss=0.7859        
  Batch 2780/6625, loss=0.9009        
  Batch 2790/6625, loss=1.2672        
  Batch 2800/6625, loss=0.6163        
  Batch 2810/6625, loss=1.0160        
  Batch 2820/6625, loss=0.8286        
  Batch 2830/6625, loss=1.1634        
  Batch 2840/6625, loss=0.8191        
  Batch 2850/6625, loss=0.8548        
  Batch 2860/6625, loss=1.0576        
  Batch 2870/6625, loss=0.9858        
  Batch 2880/6625, loss=0.9428        
  Batch 2890/6625, loss=1.1510        
  Batch 2900/6625, loss=0.9513        
  Batch 2910/6625, loss=0.8141        
  Batch 2920/6625, loss=0.8220        
  Batch 2930/6625, loss=0.9820        
  Batch 2940/6625, loss=0.7240        
  Batch 2950/6625, loss=0.9315        
  Batch 2960/6625, loss=0.7020        
  Batch 2970/6625, loss=0.7590        
  Batch 2980/6625, loss=0.9133        
  Batch 2990/6625, loss=1.1291        
  Batch 3000/6625, loss=1.1418        
  Batch 3010/6625, loss=1.0329        
  Batch 3020/6625, loss=0.6970        
  Batch 3030/6625, loss=0.6350        
  Batch 3040/6625, loss=1.0017        
  Batch 3050/6625, loss=1.2545        
  Batch 3060/6625, loss=1.0000        
  Batch 3070/6625, loss=0.9578        
  Batch 3080/6625, loss=0.4411        
  Batch 3090/6625, loss=1.0357        
  Batch 3100/6625, loss=0.9556        
  Batch 3110/6625, loss=0.9196        
  Batch 3120/6625, loss=1.0043        
  Batch 3130/6625, loss=0.8648        
  Batch 3140/6625, loss=0.8203        
  Batch 3150/6625, loss=0.6103        
  Batch 3160/6625, loss=0.8061        
  Batch 3170/6625, loss=0.5344        
  Batch 3180/6625, loss=1.0648        
  Batch 3190/6625, loss=0.7971        
  Batch 3200/6625, loss=0.5974        
  Batch 3210/6625, loss=0.7741        
  Batch 3220/6625, loss=0.8388        
  Batch 3230/6625, loss=0.6902        
  Batch 3240/6625, loss=0.8232        
  Batch 3250/6625, loss=0.9634        
  Batch 3260/6625, loss=0.7478        
  Batch 3270/6625, loss=0.6024        
  Batch 3280/6625, loss=0.9482        
  Batch 3290/6625, loss=0.7157        
  Batch 3300/6625, loss=0.7890        
  Batch 3310/6625, loss=1.5506        
  Batch 3320/6625, loss=0.8700        
  Batch 3330/6625, loss=1.0833        
  Batch 3340/6625, loss=0.6816        
  Batch 3350/6625, loss=0.5275        
  Batch 3360/6625, loss=0.8687        
  Batch 3370/6625, loss=1.0466        
  Batch 3380/6625, loss=0.4725        
  Batch 3390/6625, loss=0.7831        
  Batch 3400/6625, loss=0.8395        
  Batch 3410/6625, loss=0.8762        
  Batch 3420/6625, loss=0.4512        
  Batch 3430/6625, loss=0.8712        
  Batch 3440/6625, loss=0.6955        
  Batch 3450/6625, loss=0.9389        
  Batch 3460/6625, loss=1.0235        
  Batch 3470/6625, loss=0.8244        
  Batch 3480/6625, loss=0.9120        
  Batch 3490/6625, loss=0.7743        
  Batch 3500/6625, loss=0.8181        
  Batch 3510/6625, loss=1.0199        
  Batch 3520/6625, loss=0.8892        
  Batch 3530/6625, loss=0.6384        
  Batch 3540/6625, loss=0.9972        
  Batch 3550/6625, loss=0.7342        
  Batch 3560/6625, loss=0.7557        
  Batch 3570/6625, loss=0.8755        
  Batch 3580/6625, loss=0.6683        
  Batch 3590/6625, loss=0.6166        
  Batch 3600/6625, loss=0.9827        
  Batch 3610/6625, loss=0.6588        
  Batch 3620/6625, loss=0.5780        
  Batch 3630/6625, loss=0.5766        
  Batch 3640/6625, loss=0.6696        
  Batch 3650/6625, loss=0.8864        
  Batch 3660/6625, loss=0.4338        
  Batch 3670/6625, loss=0.8731        
  Batch 3680/6625, loss=0.5378        
  Batch 3690/6625, loss=0.8103        
  Batch 3700/6625, loss=0.6907        
  Batch 3710/6625, loss=1.1241        
  Batch 3720/6625, loss=0.8859        
  Batch 3730/6625, loss=0.6043        
  Batch 3740/6625, loss=0.6909        
  Batch 3750/6625, loss=0.7749        
  Batch 3760/6625, loss=0.7370        
  Batch 3770/6625, loss=0.8432        
  Batch 3780/6625, loss=0.5547        
  Batch 3790/6625, loss=0.7419        
  Batch 3800/6625, loss=0.9445        
  Batch 3810/6625, loss=0.7992        
  Batch 3820/6625, loss=0.6208        
  Batch 3830/6625, loss=0.5946        
  Batch 3840/6625, loss=0.7063        
  Batch 3850/6625, loss=0.6402        
  Batch 3860/6625, loss=0.8362        
  Batch 3870/6625, loss=0.8859        
  Batch 3880/6625, loss=0.5398        
  Batch 3890/6625, loss=0.6581        
  Batch 3900/6625, loss=1.1645        
  Batch 3910/6625, loss=0.5843        
  Batch 3920/6625, loss=0.8967        
  Batch 3930/6625, loss=0.8626        
  Batch 3940/6625, loss=0.5534        
  Batch 3950/6625, loss=0.8000        
  Batch 3960/6625, loss=0.7510        
  Batch 3970/6625, loss=0.8046        
  Batch 3980/6625, loss=0.5902        
  Batch 3990/6625, loss=0.6818        
  Batch 4000/6625, loss=0.6892        
  Batch 4010/6625, loss=0.8287        
  Batch 4020/6625, loss=0.5927        
  Batch 4030/6625, loss=0.5904        
  Batch 4040/6625, loss=0.5829        
  Batch 4050/6625, loss=0.9563        
  Batch 4060/6625, loss=0.7133        
  Batch 4070/6625, loss=0.8886        
  Batch 4080/6625, loss=0.7079        
  Batch 4090/6625, loss=0.7540        
  Batch 4100/6625, loss=0.9514        
  Batch 4110/6625, loss=0.6769        
  Batch 4120/6625, loss=0.6606        
  Batch 4130/6625, loss=0.6372        
  Batch 4140/6625, loss=0.3634        
  Batch 4150/6625, loss=0.7847        
  Batch 4160/6625, loss=0.9455        
  Batch 4170/6625, loss=0.7759        
  Batch 4180/6625, loss=0.8078        
  Batch 4190/6625, loss=0.8765        
  Batch 4200/6625, loss=0.5907        
  Batch 4210/6625, loss=0.8639        
  Batch 4220/6625, loss=0.8393        
  Batch 4230/6625, loss=0.8447        
  Batch 4240/6625, loss=0.6022        
  Batch 4250/6625, loss=0.8583        
  Batch 4260/6625, loss=1.0287        
  Batch 4270/6625, loss=0.3861        
  Batch 4280/6625, loss=0.5503        
  Batch 4290/6625, loss=0.7862        
  Batch 4300/6625, loss=0.9485        
  Batch 4310/6625, loss=0.6015        
  Batch 4320/6625, loss=0.3532        
  Batch 4330/6625, loss=0.8043        
  Batch 4340/6625, loss=0.5162        
  Batch 4350/6625, loss=0.7062        
  Batch 4360/6625, loss=0.4773        
  Batch 4370/6625, loss=0.9187        
  Batch 4380/6625, loss=0.7035        
  Batch 4390/6625, loss=0.5849        
  Batch 4400/6625, loss=0.7006        
  Batch 4410/6625, loss=0.6340        
  Batch 4420/6625, loss=0.6619        
